max_deceleration,velocity,lead_speed_delta,Crash,initial_distance,speed_difference,reacted,ego_speed,perceived_gap,true_gap,perceived_speed,true_speed
0.05,12,0,False,7.629050925925926,0.0,True,1.4358333333333324,2.5670546630038116,3.684670925925917,1.322283333333333,1.2241833333333325
0.05,12,5,False,7.629050925925926,0.0,True,0.6768333333333323,1.8825141650010648,3.308879259259265,0.12959444444444412,0.08054444444444409
0.05,12,10,False,7.629050925925926,0.0,True,0.6768333333333323,1.6066288450592578,2.0137209259259263,0.0,0.0
0.05,12,15,False,7.629050925925926,0.0,True,0.6768333333333323,1.548611803035648,1.8010675925925934,0.0,0.0
0.05,12,20,False,7.629050925925926,0.0,True,0.6768333333333323,1.607854839456369,2.1261842592592597,0.0,0.0
0.05,12,25,False,7.629050925925926,0.0,True,0.6768333333333323,1.2654380052611556,2.05028425925926,0.0,0.0
0.05,12,30,False,7.629050925925926,0.0,True,0.6768333333333323,1.613926281083665,2.2020842592592595,0.0,0.0
0.05,14,0,False,8.588413065843621,0.0,True,0.4730948888888885,1.2586650250216467,4.088338088065844,0.16108888888888817,0.0
0.05,14,5,False,8.588413065843621,0.0,True,0.4730948888888885,1.50014660849149,2.7089173102880677,0.0,0.0
0.05,14,10,False,8.588413065843621,0.0,True,0.4730948888888885,1.6243342823520095,2.853310110288069,0.0,0.0
0.05,14,15,False,8.588413065843621,0.0,True,0.4730948888888885,0.653564802827681,1.0828369102880657,0.0,0.0
0.05,14,20,False,8.588413065843621,0.0,True,0.4730948888888885,-0.04682782730521318,1.471725799176955,0.0,0.0
0.05,14,25,False,8.588413065843621,0.0,True,0.4730948888888885,0.05412661412059094,1.7373757991769558,0.0,0.0
0.05,14,30,False,8.588413065843621,0.0,True,0.4730948888888885,0.9559249822792033,1.6713767325102893,0.0,0.0
0.05,16,0,False,9.599215534979425,0.0,True,0.26935644444444373,1.3987146960152517,2.9768242016460507,0.0,0.0
0.05,16,5,False,9.599215534979425,0.0,True,1.0286504444444438,2.275980892057448,4.176216134979431,0.652105555555555,0.45590555555555534
0.05,16,10,False,9.599215534979425,0.0,True,0.26935644444444373,0.8930070860015382,2.747767512757206,0.0,0.0
0.05,16,15,False,9.599215534979425,0.0,True,0.26935644444444373,0.9275011348182014,1.7995264238683122,0.0,0.0
0.05,16,20,False,9.599215534979425,0.0,True,0.26935644444444373,0.3372249357367645,2.308786623868314,0.0,0.0
0.05,16,25,False,9.599215534979425,0.0,True,0.26935644444444373,1.0047409895690107,2.177814846090535,0.0,0.0
0.05,16,30,False,9.599215534979425,0.0,True,0.26935644444444373,-0.4266860206163736,2.043136623868313,0.0,0.0
0.05,18,0,False,10.640624999999998,0.0,True,0.06561799999999862,0.7064406994295256,3.3818352000000305,0.0,0.0
0.05,18,5,False,10.640624999999998,0.0,True,0.06561799999999862,1.288087558439,3.3246090222222344,0.0,0.0
0.05,18,10,False,10.640624999999998,0.0,True,0.06561799999999862,-0.05227164383066185,2.9823402222222226,0.0,0.0
0.05,18,15,False,10.640624999999998,0.0,True,0.06561799999999862,1.1375793370747003,2.6036644666666655,0.0,0.0
0.05,18,20,False,10.640624999999998,0.0,True,0.06561799999999862,1.024497043936564,2.5031243999999964,0.0,0.0
0.05,18,25,False,10.640624999999998,0.0,True,0.06561799999999862,0.38104466467532294,1.6890954000000002,0.0,0.0
0.05,18,30,False,10.640624999999998,0.0,True,0.06561799999999862,1.0778113012298336,2.2059685999999976,0.0,0.0
0.05,20,0,False,11.682291666666666,0.0,True,0.6211735555555539,1.8801195829542978,4.068716688888796,0.0,0.0
0.05,20,5,False,11.682291666666666,0.0,True,0.6211735555555539,1.2473181083588942,3.589142777777739,0.0,0.0
0.05,20,10,False,11.682291666666666,0.0,True,0.6211735555555539,1.3677607447937108,2.923998422222259,0.0,0.0
0.05,20,15,False,11.682291666666666,0.0,True,0.6211735555555539,1.8692227430307193,2.9223371777777816,0.015488888888888663,0.0
0.05,20,20,False,11.682291666666666,0.0,True,0.6211735555555539,0.9938322819169487,1.8385046444444457,0.0,0.0
0.05,20,25,False,11.682291666666666,0.0,True,0.6211735555555539,1.2819774210624368,2.4699896000000026,0.0,0.0
0.05,20,30,False,11.682291666666666,0.0,True,0.6211735555555539,1.7597683086896323,1.9144340444444454,0.0,0.0
0.05,22,0,False,12.723958333333332,0.0,True,0.4174351111111091,0.9340517281233334,2.8266586888887817,0.0,0.0
0.05,22,5,False,12.723958333333332,0.0,True,0.4174351111111091,1.5899928885501753,2.7037846888890273,0.0,0.0
0.05,22,10,False,12.723958333333332,0.0,True,0.4174351111111091,1.7246885931620755,3.9798752444444654,0.14508333333333256,0.04698333333333293
0.05,22,15,False,12.723958333333332,0.0,True,0.4174351111111091,1.2060602262606173,3.268161155555563,0.0,0.0
0.05,22,20,False,12.723958333333332,0.0,True,0.4174351111111091,0.28063675576725,1.9173987333333384,0.0,0.0
0.05,22,25,False,12.723958333333332,0.0,True,0.4174351111111091,0.5704615114836669,2.337431977777782,0.0,0.0
0.05,22,30,False,12.723958333333332,0.0,True,0.4174351111111091,0.6973331131850733,2.3032460888888933,0.0,0.0
0.05,24,0,False,13.765624999999998,0.0,True,0.21369666666666443,0.6199416120862198,3.068922133333584,0.0,0.0
0.05,24,5,False,13.765624999999998,0.0,True,0.21369666666666443,1.2187781869928402,2.841898866666729,0.0,0.0
0.05,24,10,False,13.765624999999998,0.0,True,0.21369666666666443,1.3329750301317995,2.5832707777776927,0.0,0.0
0.05,24,15,False,13.765624999999998,0.0,True,0.21369666666666443,1.5040744370047863,2.809389866666721,0.0,0.0
0.05,24,20,False,13.765624999999998,0.0,True,0.21369666666666443,1.3816578035563412,2.6893427555555514,0.0,0.0
0.05,24,25,False,13.765624999999998,0.0,True,0.21369666666666443,0.5798172715636953,1.607882666666666,0.0,0.0
0.05,24,30,False,13.765624999999998,0.0,True,0.21369666666666443,1.2567047711077821,2.2531796666666652,0.0,0.0
0.05,26,0,False,14.807291666666664,0.0,True,0.009958222222220536,1.099928609375863,3.011852222222342,0.0,0.0
0.05,26,5,False,14.807291666666664,0.0,True,0.009958222222220536,1.131166841309775,3.204043733333404,0.0,0.0
0.05,26,10,False,14.807291666666664,0.0,True,0.009958222222220536,0.5755217570534557,2.9370579555555993,0.0,0.0
0.05,26,15,False,14.807291666666664,0.0,True,0.009958222222220536,1.2571097129856073,3.6146237555555674,0.0,0.0
0.05,26,20,False,14.807291666666664,0.0,True,0.009958222222220536,1.121342957202871,3.295708844444442,0.0,0.0
0.05,26,25,False,14.807291666666664,0.0,True,0.009958222222220536,1.2293621591931414,2.541631088888889,0.0,0.0
0.05,26,30,False,14.807291666666664,0.0,True,0.009958222222220536,0.40969051756666364,1.368784088888888,0.0,0.0
0.05,28,0,False,15.848958333333332,0.0,True,0.5655137777777762,1.525256583833408,2.6168939333332846,0.0,0.0
0.05,28,5,False,15.848958333333332,0.0,True,0.5655137777777762,1.5360696393319815,3.322294711110982,0.0,0.0
0.05,28,10,False,15.848958333333332,0.0,True,0.5655137777777762,1.677098261469351,3.004376288888804,0.0,0.0
0.05,28,15,False,15.848958333333332,0.0,True,0.5655137777777762,1.8656219237553282,4.040963799999987,0.0,0.0
0.05,28,20,False,15.848958333333332,0.0,True,0.5655137777777762,0.11521132463622497,3.3324167777777847,0.0,0.0
0.05,28,25,False,15.848958333333332,0.0,True,0.5655137777777762,1.3194623355083364,2.7977768000000003,0.0,0.0
