long_dist,lat_vel,Crash,Crash type,minTTC,PFS,CFS,reacted,ego_speed,perceived_gap,true_gap,perceived_lat_gap,true_lat_gap,perceived_lat_speed,true_lat_speed,perceived_speed,true_speed,entry_ego_speed,entry_perceived_gap,entry_true_gap,entry_perceived_lat_gap,entry_true_lat_gap,entry_perceived_lat_speed,entry_true_lat_speed,entry_perceived_speed,entry_true_speed
1,0.0,False,0,4.0,0.0,0.0,False,30.555555555555554,-4.044444444444444,-4.044444444444444,1.6,1.6,0.0,0.0,2.7777777777777777,2.7777777777777777,,,,,,,,,
1,0.1,False,0,4.0,0.0,0.0,False,30.555555555555554,-4.044444444444444,-4.044444444444444,1.58,1.58,-0.1,-0.1,2.7777777777777777,2.7777777777777777,30.555555555555554,437.62222222222084,437.62222222222084,-0.00999999999999579,-0.00999999999999579,-0.1,-0.1,2.7777777777777777,2.7777777777777777
1,0.2,False,0,4.0,0.0,0.0,False,30.555555555555554,-4.044444444444444,-4.044444444444444,1.56,1.56,-0.2,-0.2,2.7777777777777777,2.7777777777777777,30.555555555555554,215.39999999999958,215.39999999999958,-0.019999999999997353,-0.019999999999997353,-0.2,-0.2,2.7777777777777777,2.7777777777777777
1,0.30000000000000004,False,0,4.0,0.0,0.0,False,30.555555555555554,-4.044444444444444,-4.044444444444444,1.54,1.54,-0.30000000000000004,-0.30000000000000004,2.7777777777777777,2.7777777777777777,30.555555555555554,140.3999999999999,140.3999999999999,-0.020000000000001572,-0.020000000000001572,-0.30000000000000004,-0.30000000000000004,2.7777777777777777,2.7777777777777777
1,0.4,False,0,3.6999999999999993,0.0,0.0,False,30.555555555555554,-4.044444444444444,-4.044444444444444,1.52,1.52,-0.4,-0.4,2.7777777777777777,2.7777777777777777,30.555555555555554,101.51111111111118,101.51111111111118,-6.661338147750939e-16,-6.661338147750939e-16,-0.4,-0.4,2.7777777777777777,2.7777777777777777
1,0.5,False,0,2.900000000000001,0.0,0.0,False,30.555555555555554,-4.044444444444444,-4.044444444444444,1.5,1.5,-0.5,-0.5,2.7777777777777777,2.7777777777777777,30.555555555555554,79.28888888888893,79.28888888888893,0.0,0.0,-0.5,-0.5,2.7777777777777777,2.7777777777777777
1,0.6000000000000001,False,0,2.3666666666666667,0.0,0.0,False,30.555555555555554,-4.044444444444444,-4.044444444444444,1.48,1.48,-0.6000000000000001,-0.6000000000000001,2.7777777777777777,2.7777777777777777,30.555555555555554,65.40000000000003,65.40000000000003,-0.019999999999999574,-0.019999999999999574,-0.6000000000000001,-0.6000000000000001,2.7777777777777777,2.7777777777777777
1,0.7000000000000001,False,0,1.9857142857142853,0.0,0.0,False,30.555555555555554,-4.044444444444444,-4.044444444444444,1.46,1.46,-0.7000000000000001,-0.7000000000000001,2.7777777777777777,2.7777777777777777,30.555555555555554,54.28888888888891,54.28888888888891,-0.009999999999999343,-0.009999999999999343,-0.7000000000000001,-0.7000000000000001,2.7777777777777777,2.7777777777777777
1,0.8,False,0,1.6999999999999995,0.0,0.0,False,30.555555555555554,-4.044444444444444,-4.044444444444444,1.44,1.44,-0.8,-0.8,2.7777777777777777,2.7777777777777777,30.555555555555554,45.95555555555558,45.95555555555558,-2.220446049250313e-16,-2.220446049250313e-16,-0.8,-0.8,2.7777777777777777,2.7777777777777777
1,0.9,False,0,1.477777777777778,0.0,0.0,False,30.555555555555554,-4.044444444444444,-4.044444444444444,1.42,1.42,-0.9,-0.9,2.7777777777777777,2.7777777777777777,30.555555555555554,40.40000000000002,40.40000000000002,-0.02000000000000024,-0.02000000000000024,-0.9,-0.9,2.7777777777777777,2.7777777777777777
1,1.0,False,0,1.3,0.0,0.0,False,30.555555555555554,-4.044444444444441,-4.044444444444441,1.4,1.4,-1.0,-1.0,2.7777777777777777,2.7777777777777777,30.555555555555554,34.84444444444446,34.84444444444446,0.0,0.0,-1.0,-1.0,2.7777777777777777,2.7777777777777777
1,1.1,False,0,1.1545454545454543,0.0,0.0,False,30.555555555555554,-4.044444444444441,-4.044444444444441,1.38,1.38,-1.1,-1.1,2.7777777777777777,2.7777777777777777,30.555555555555554,32.066666666666684,32.066666666666684,-0.0499999999999996,-0.0499999999999996,-1.1,-1.1,2.7777777777777777,2.7777777777777777
1,1.2000000000000002,False,0,1.0333333333333334,0.0,0.0,False,30.555555555555554,-4.044444444444441,-4.044444444444441,1.3599999999999999,1.3599999999999999,-1.2000000000000002,-1.2000000000000002,2.7777777777777777,2.7777777777777777,30.555555555555554,29.288888888888902,29.288888888888902,-0.07999999999999963,-0.07999999999999963,-1.2000000000000002,-1.2000000000000002,2.7777777777777777,2.7777777777777777
1,1.3,False,0,0.9307692307692309,0.0,0.0,False,30.555555555555554,-4.044444444444441,-4.044444444444441,1.3400000000000003,1.3400000000000003,-1.3,-1.3,2.7777777777777777,2.7777777777777777,30.555555555555554,26.511111111111124,26.511111111111124,-0.09000000000000008,-0.09000000000000008,-1.3,-1.3,2.7777777777777777,2.7777777777777777
1,1.4000000000000001,False,0,0.8428571428571427,0.0,0.0,False,30.555555555555554,-4.044444444444441,-4.044444444444441,1.3199999999999998,1.3199999999999998,-1.4000000000000001,-1.4000000000000001,2.7777777777777777,2.7777777777777777,30.555555555555554,23.733333333333345,23.733333333333345,-0.08000000000000007,-0.08000000000000007,-1.4000000000000001,-1.4000000000000001,2.7777777777777777,2.7777777777777777
1,1.5,False,0,0.7666666666666665,0.0,0.0,False,30.555555555555554,-4.044444444444441,-4.044444444444441,1.3000000000000003,1.3000000000000003,-1.5,-1.5,2.7777777777777777,2.7777777777777777,30.555555555555554,20.955555555555566,20.955555555555566,-0.04999999999999982,-0.04999999999999982,-1.5,-1.5,2.7777777777777777,2.7777777777777777
1,1.6,False,0,0.7000000000000002,0.0,0.0,False,30.555555555555554,-4.044444444444441,-4.044444444444441,1.2800000000000002,1.2800000000000002,-1.6,-1.6,2.7777777777777777,2.7777777777777777,30.555555555555554,20.955555555555566,20.955555555555566,-0.1599999999999997,-0.1599999999999997,-1.6,-1.6,2.7777777777777777,2.7777777777777777
1,1.7000000000000002,False,0,0.6411764705882352,0.0,0.0,False,30.555555555555554,-4.044444444444441,-4.044444444444441,1.2600000000000002,1.2600000000000002,-1.7000000000000002,-1.7000000000000002,2.7777777777777777,2.7777777777777777,30.555555555555554,18.177777777777788,18.177777777777788,-0.09999999999999964,-0.09999999999999964,-1.7000000000000002,-1.7000000000000002,2.7777777777777777,2.7777777777777777
3,0.0,False,0,4.0,0.0,0.0,False,30.555555555555554,-3.2666666666666666,-3.2666666666666666,1.6,1.6,0.0,0.0,2.7777777777777777,2.7777777777777777,,,,,,,,,
3,0.1,False,0,4.0,0.0,0.0,False,30.555555555555554,-3.2666666666666666,-3.2666666666666666,1.5700000000000003,1.5700000000000003,-0.1,-0.1,2.7777777777777777,2.7777777777777777,30.555555555555554,435.62222222222084,435.62222222222084,-0.00999999999999579,-0.00999999999999579,-0.1,-0.1,2.7777777777777777,2.7777777777777777
