velocity,front_distance,lateral_velocities,Crash,Crash_front,initial_distance,reacted,ego_speed,perceived_gap,true_gap,perceived_lat_gap,true_lat_gap,perceived_speed,true_speed
10,2,-0.1,False,True,6.721129115226336,True,0.12127777777777715,1.3762966024311076,1.5977624485596724,-1.6507719378326673,-1.8399999999999999,0.0,0.0
10,2,-0.30000000000000004,False,True,6.721129115226336,True,0.12127777777777715,1.3315571025229476,1.5961957818930044,-1.8647156117787382,-1.7199999999999998,0.0,0.0
10,2,-0.5000000000000001,False,True,6.721129115226336,True,0.12127777777777715,1.2567660726292962,1.8133346707818943,-1.3660064256457374,-1.6,0.0,0.0
10,2,-0.7000000000000001,False,True,6.721129115226336,True,0.12127777777777715,0.8136085339517818,1.776951337448561,-1.0141390192639705,-1.48,0.0,0.0
10,2,-0.9000000000000001,False,True,6.721129115226336,True,0.12127777777777715,1.107176620861165,1.7890791152263388,-1.04022556205536,-1.3599999999999999,0.0,0.0
10,2,-1.1000000000000003,False,True,6.721129115226336,True,0.12127777777777715,0.639941080834828,1.5961957818930044,-0.9312381400917882,-1.2399999999999998,0.0,0.0
10,2,-1.3000000000000003,False,True,6.721129115226336,True,0.12127777777777715,1.342768688017503,1.873973559670783,-0.7039214997783123,-1.1199999999999997,0.0,0.0
10,2,-1.5000000000000004,False,True,6.721129115226336,True,0.12127777777777715,1.3174270943159714,1.5598124485596712,-0.26231962778234585,-0.9999999999999996,0.0,0.0
10,2,-1.7000000000000004,False,True,6.721129115226336,True,0.12127777777777715,1.36718040228675,1.8497180041152275,-0.8490553755390471,-0.8799999999999994,0.0,0.0
10,2,-1.9000000000000004,False,True,6.721129115226336,True,0.12127777777777715,0.8066387868115976,1.8618457818930052,-0.5892413197681203,-0.7599999999999998,0.0,0.0
10,2,-2.1000000000000005,False,True,6.721129115226336,True,0.12127777777777715,1.3013813269009535,1.7859457818930053,0.3371296346714363,-0.6399999999999992,0.0,0.0
10,2,-2.3000000000000007,False,True,6.721129115226336,True,0.12127777777777715,1.096776621396569,1.5476846707818934,-0.4289465764897782,-0.5199999999999996,0.0,0.0
10,2,-2.5000000000000004,False,True,6.721129115226336,True,0.12127777777777715,1.070951485641979,1.7010513374485612,0.2195201283376469,-0.3999999999999999,0.0,0.0
10,2,-2.7000000000000006,False,True,6.721129115226336,True,0.12127777777777715,1.0465155853090389,1.5961957818930044,-0.9799164951674401,-0.2799999999999998,0.0,0.0
10,2,-2.900000000000001,False,True,6.721129115226336,True,0.12127777777777715,1.3528792672128782,1.3184180041152276,0.5114941149583752,-0.15999999999999925,0.0,0.0
10,7,-0.1,False,True,6.721129115226336,True,0.12127777777777715,1.2137925703638723,1.8375902263374408,-1.3951111058580452,-1.6599999999999997,0.0,0.0
10,7,-0.30000000000000004,False,True,6.721129115226336,True,0.12127777777777715,1.1085249435958433,2.0030846707818855,-1.5823474928323364,-1.1800000000000002,0.0,0.0
10,7,-0.5000000000000001,False,True,6.721129115226336,True,0.12127777777777715,1.0366080593502103,1.2941624485596632,-1.487976405889067,-0.6999999999999997,0.0,0.0
10,7,-0.7000000000000001,False,True,6.721129115226336,True,0.12127777777777715,1.2561392798073134,1.7890791152263317,-0.5062427609073235,-0.22000000000000064,0.0,0.0
10,7,-0.9000000000000001,False,False,6.721129115226336,True,0.12127777777777715,1.054069466444341,1.1573068930040957,-1.0485221183881106,-1.9,0.0,0.0
10,7,-1.1000000000000003,False,False,6.721129115226336,True,0.12127777777777715,1.002385994442431,1.8087235596707636,-1.3132847077906793,-1.9,0.0,0.0
10,7,-1.3000000000000003,False,False,6.721129115226336,True,0.12127777777777715,1.3933024906017462,1.6037124485596532,-1.4299204468284883,-1.9,0.0,0.0
10,7,-1.5000000000000004,False,False,6.721129115226336,True,0.12127777777777715,1.0427671291162461,1.712862448559651,-1.3146820710145255,-1.9,0.0,0.0
10,7,-1.7000000000000004,False,False,6.721129115226336,True,0.12127777777777715,1.1792091166857048,1.748084670781875,-1.3114988417970612,-1.9,0.0,0.0
10,7,-1.9000000000000004,False,False,6.721129115226336,True,0.12127777777777715,1.3435847589931242,1.8451068930040968,-1.7319230630211608,-1.9,0.0,0.0
10,7,-2.1000000000000005,False,False,6.721129115226336,True,0.12127777777777715,1.179657007166389,1.6279680041152087,-1.8326796628067517,-1.9,0.0,0.0
10,7,-2.3000000000000007,False,False,6.721129115226336,True,0.12127777777777715,0.9327036157059752,1.712862448559651,-1.2872762382214347,-1.9,0.0,0.0
10,7,-2.5000000000000004,False,False,6.721129115226336,True,0.12127777777777715,1.0824765111772283,1.4108291152263188,-1.2402046099029005,-1.9,0.0,0.0
10,7,-2.7000000000000006,False,False,6.721129115226336,True,0.12127777777777715,1.169391640705335,1.6886068930040956,-1.8902034453845382,-1.9,0.0,0.0
