max_deceleration,velocity,lead_speed_delta,Crash,initial_distance,speed_difference,CFS,PFS,reacted,ego_speed,perceived_gap,true_gap,perceived_speed,true_speed
0.05,12,0,False,7.095238095238095,0.0,0.0,1.0,True,0.09030963850757423,2.5189869281208095,4.09061961543238,0.0,0.0
0.05,12,5,False,7.095238095238095,0.0,0.0,1.0,True,1.0282776106194498,4.095826342288661,4.433011129188356,0.9634444444444443,0.9634444444444443
0.05,12,10,False,7.095238095238095,0.0,1.0,1.0,True,0.33247586007511326,1.2078428529636334,1.8822105092305854,0.0,0.0
0.05,12,15,False,7.095238095238095,0.0,1.0,1.0,True,0.3314444936657942,2.433132502119454,2.4000011537977297,0.0,0.0
0.05,12,20,False,7.095238095238095,0.0,1.0,1.0,True,0.23616120384023076,2.7414823246988096,2.486224159984646,0.0,0.0
0.05,12,25,False,7.095238095238095,0.0,1.0,1.0,True,0.19117532267017046,1.5931680409180506,2.12131883177038,0.0,0.0
0.05,12,30,False,7.095238095238095,0.0,1.0,1.0,True,0.33616095142403757,2.356947523408306,2.371250433652775,0.0,0.0
0.05,14,0,False,7.726851851851851,0.0,0.0,0.8109322322756087,True,0.04004740363955086,2.5698391280491792,3.988435031681086,0.0,0.0
0.05,14,5,False,7.726851851851851,0.0,0.0,1.0,True,0.010041535458512163,3.3119517829757514,4.516817092369455,0.0,0.0
0.05,14,10,False,7.726851851851851,0.0,1.0,1.0,True,0.027326097983441072,2.2218196641735926,2.253010882911548,0.0,0.0
0.05,14,15,False,7.726851851851851,0.0,1.0,1.0,True,0.2439853450594987,1.11782284443394,1.713075539568127,0.0,0.0
0.05,14,20,False,7.726851851851851,0.0,1.0,1.0,True,0.35038888888888864,1.286920318709181,0.6055185185185215,0.0,0.0
0.05,14,25,False,7.726851851851851,0.0,1.0,1.0,True,0.3298888888888889,1.7522992462088558,2.1157629629629637,0.0,0.0
0.05,14,30,False,7.726851851851851,0.0,1.0,1.0,True,0.27023339115085404,0.8034551806939216,1.428810170730804,0.0,0.0
0.05,16,0,False,8.391534391534393,0.0,0.0,1.0,True,0.06082030911646516,3.653565175451818,4.5924253600782885,0.0,0.0
