velocity,front_distance,lateral_velocities,Crash,Crash_front,initial_distance,PFS,CFS,reacted,ego_speed,perceived_gap,true_gap,perceived_lat_gap,true_lat_gap,perceived_speed,true_speed
10,2,-0.1,False,True,6.496693121693122,0.0,0.0,True,0.27413850884430563,2.1147335330563513,2.8950508180846777,-1.434469533656277,-1.8399999999999999,0.0,0.0
10,2,-0.30000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.24848831549882142,0.9101558613621634,2.5170462004283554,-0.868063446787604,-1.7199999999999998,0.0,0.0
10,2,-0.5000000000000001,False,True,6.496693121693122,0.0,0.0,True,0.09227777777777746,1.030873821231446,0.9192764550264547,-0.4375686816279629,-1.6,0.0,0.0
10,2,-0.7000000000000001,False,True,6.496693121693122,0.0,0.0,True,0.11152098962413726,1.609262556317752,2.386568669393233,-1.0857730249189865,-1.48,0.0,0.0
10,2,-0.9000000000000001,False,True,6.496693121693122,0.0,0.0,True,0.11170898202312773,1.4275187257186301,2.3662222234908077,-1.710727615045714,-1.3599999999999999,0.0,0.0
10,2,-1.1000000000000003,False,True,6.496693121693122,0.0,0.0,True,0.04496467458407119,3.567535078777156,2.3728966542347143,-1.4178417989950434,-1.2399999999999998,0.0,0.0
10,2,-1.3000000000000003,False,True,6.496693121693122,0.0,0.0,True,0.05158657470398237,2.1313999669708013,2.7347211863005425,-0.9495547027358767,-1.1199999999999997,0.0,0.0
10,2,-1.5000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.07246360557159534,0.16906736828369606,1.1691300944692946,-1.7568139019208493,-0.9999999999999996,0.0,0.0
10,2,-1.7000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.32926334333825424,1.28948123352348,2.039537784357819,-1.0515905870723445,-0.8799999999999994,0.0,0.0
10,2,-1.9000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.16269532718519797,0.3792028868060475,2.259580863157164,-1.3667956542873356,-0.7599999999999998,0.0,0.0
10,2,-2.1000000000000005,False,True,6.496693121693122,0.0,0.0,True,0.36222754084856845,1.0869208787283027,2.1271326030719413,-1.2869302424644176,-0.6399999999999992,0.0,0.0
10,2,-2.3000000000000007,False,True,6.496693121693122,0.0,0.0,True,0.1709774675857127,1.5501142176291287,2.34764537493455,-0.1255127392699691,-0.5199999999999996,0.0,0.0
10,2,-2.5000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.31696424170346194,1.149968949412636,1.776757425011735,-1.8313703666056653,-0.3999999999999999,0.0,0.0
10,2,-2.7000000000000006,False,True,6.496693121693122,0.0,0.0,True,0.12933196203283226,1.3020841223229613,1.8231489515087773,-1.7729212988532357,-0.2799999999999998,0.0,0.0
10,2,-2.900000000000001,True,True,6.496693121693122,0.0,0.0,True,0.3127777777777774,-1.199395145092791,-0.5372902116402143,-0.353474317423389,-0.15999999999999925,0.0,0.0
10,7,-0.1,False,True,6.496693121693122,0.0,0.0,True,0.11945671674435293,3.2335867403705008,3.0302321308975833,-0.668697124429722,-1.6599999999999997,0.0,0.0
10,7,-0.30000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.04270245684299387,2.6062817453756333,2.8059534496498992,-0.7124801891726742,-1.1800000000000002,0.0,0.0
10,7,-0.5000000000000001,False,True,6.496693121693122,0.0,0.0,True,0.3292116941129477,1.1884631994396075,2.3744928301922004,-1.5606642256424919,-0.6999999999999997,0.0,0.0
10,7,-0.7000000000000001,False,True,6.496693121693122,0.0,0.0,True,0.2922777777777774,2.2183405393879267,0.8587708994708967,-1.2345111488397917,-0.22000000000000064,0.0,0.0
10,7,-0.9000000000000001,False,False,6.496693121693122,0.0,0.0,True,0.25185653207503217,0.47044656600258605,2.725370690961043,-1.114101647248682,-1.9,0.0,0.0
10,7,-1.1000000000000003,False,False,6.496693121693122,0.0,0.0,True,0.03843812677156541,3.133322691964347,3.7683282249805803,-1.862274194227447,-1.9,0.0,0.0
10,7,-1.3000000000000003,False,False,6.496693121693122,0.0,0.0,True,0.14600649358227769,2.184665599312714,2.9264958325348314,-1.413413136030403,-1.9,0.0,0.0
