velocity,front_distance,lateral_velocities,Crash,Crash_front,initial_distance,PFS,CFS,reacted,ego_speed,perceived_gap,true_gap,perceived_lat_gap,true_lat_gap,perceived_speed,true_speed
10,2,-0.1,False,True,6.496693121693122,0.0,0.0,True,0.04508148071044371,2.4830202199191946,2.638698877495588,-1.0437045290634415,-1.8399999999999999,0.0,0.0
10,2,-0.30000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.35884958716712173,2.024783311152942,2.5075453315833007,-1.6047085238392595,-1.7199999999999998,0.0,0.0
10,2,-0.5000000000000001,False,True,6.496693121693122,0.0,0.0,True,0.19168804670280454,1.0558403546503063,1.7460909836895082,-1.5641856790287108,-1.6,0.0,0.0
10,2,-0.7000000000000001,False,True,6.496693121693122,0.0,0.0,True,0.39170487066935233,2.1009037942035524,2.6021274047563816,-0.6752839991720854,-1.48,0.0,0.0
10,2,-0.9000000000000001,False,True,6.496693121693122,0.0,0.0,True,0.0151053306836188,2.1229975009894533,2.3860229892334432,-1.755359498725956,-1.3599999999999999,0.0,0.0
10,2,-1.1000000000000003,False,True,6.496693121693122,0.0,0.0,True,0.01877777777777745,-0.35565065843615784,1.7693597883597878,-0.5538625335373075,-1.2399999999999998,0.0,0.0
10,2,-1.3000000000000003,False,True,6.496693121693122,0.0,0.0,True,0.3908873084394209,1.1769884835322877,2.357443753872909,-0.1953811106184722,-1.1199999999999997,0.0,0.0
10,2,-1.5000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.12049765796334538,2.013389662376561,1.5012796495426581,-1.2420010754531399,-0.9999999999999996,0.0,0.0
10,2,-1.7000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.01877777777777745,0.360745925491214,1.4497042328042333,-1.1894731633364257,-0.8799999999999994,0.0,0.0
10,2,-1.9000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.2922777777777774,0.8864261948406948,1.3842320105820107,-0.584559701204965,-0.7599999999999998,0.0,0.0
10,2,-2.1000000000000005,False,True,6.496693121693122,0.0,0.0,True,0.2553527642660962,0.9274005182739087,1.853813263959931,-0.051020510433461785,-0.6399999999999992,0.0,0.0
10,2,-2.3000000000000007,False,True,6.496693121693122,0.0,0.0,True,0.31562574316124237,1.697546602512113,1.6114749918214413,-1.3743053696159708,-0.5199999999999996,0.0,0.0
10,2,-2.5000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.040205148559149195,1.9390746545451707,1.1762837179483165,-1.2216987842395879,-0.3999999999999999,0.0,0.0
10,2,-2.7000000000000006,False,True,6.496693121693122,0.0,0.0,True,0.14590562318541223,1.664293082513451,1.391828975480534,-1.1584363541396603,-0.2799999999999998,0.0,0.0
10,2,-2.900000000000001,False,True,6.496693121693122,0.0,0.0,True,0.020775935386464217,0.19033731758585404,1.4455766392655853,-1.5209319013746987,-0.15999999999999925,0.0,0.0
10,7,-0.1,False,True,6.496693121693122,0.0,0.0,True,0.06030868287048741,1.6027145114104178,2.509380887792182,-1.891910909460845,-1.6599999999999997,0.0,0.0
10,7,-0.30000000000000004,False,True,6.496693121693122,0.0,0.0,True,0.20735151643897465,2.102782707596327,2.7967329118952096,-1.0871939328051137,-1.1800000000000002,0.0,0.0
10,7,-0.5000000000000001,False,True,6.496693121693122,0.0,0.0,True,0.01877777777777745,3.07443122620061,1.7274820105820057,-1.041768432905085,-0.6999999999999997,0.0,0.0
10,7,-0.7000000000000001,False,True,6.496693121693122,0.0,0.0,True,0.2922777777777774,2.384753819923497,0.42116534391533467,-0.49971808800089135,-0.22000000000000064,0.0,0.0
10,7,-0.9000000000000001,False,False,6.496693121693122,0.0,0.0,True,0.11706164510603881,2.2785226370021583,2.798570807905179,-0.8392442021845776,-1.9,0.0,0.0
10,7,-1.1000000000000003,False,False,6.496693121693122,0.0,0.0,True,0.07048877106015344,3.031830777636568,2.8110336354219996,-1.3983049024730652,-1.9,0.0,0.0
10,7,-1.3000000000000003,False,False,6.496693121693122,0.0,0.0,True,0.03441211696453833,3.4368446495454403,3.060964785726382,-0.7261915241250341,-1.9,0.0,0.0
10,7,-1.5000000000000004,False,False,6.496693121693122,0.0,0.0,True,0.27277308534971806,1.89589760107493,2.6725211110943103,-1.5597262904924487,-1.9,0.0,0.0
