max_deceleration,velocity,lead_speed_delta,Crash,initial_distance,speed_difference,CFS,PFS,reacted,ego_speed,perceived_gap,true_gap,perceived_speed,true_speed
0.05,12,0,False,7.095238095238095,0.0,0.0,0.1693161559962406,True,0.006851219128810305,3.903553241212145,3.903553241212145,0.0,0.0
0.05,12,5,False,7.095238095238095,0.0,0.0,0.8363081611916255,True,0.010643973671928594,3.919646949008457,3.919646949008457,0.0,0.0
0.05,12,10,False,7.095238095238095,0.0,0.0,1.0,True,0.003834289059567453,2.846923463016947,2.846923463016947,0.0,0.0
0.05,12,15,False,7.095238095238095,0.0,0.0,1.0,True,0.18949577557081076,2.515621851014349,2.515621851014349,0.0,0.0
0.05,12,20,False,7.095238095238095,0.0,0.0,1.0,True,0.18949577557081076,2.515621851014349,2.515621851014349,0.0,0.0
0.05,12,25,False,7.095238095238095,0.0,0.0,1.0,True,0.18949577557081076,2.515621851014349,2.515621851014349,0.0,0.0
0.05,12,30,False,7.095238095238095,0.0,0.0,1.0,True,0.18949577557081076,2.515621851014349,2.515621851014349,0.0,0.0
0.05,14,0,False,7.726851851851851,0.0,0.0,0.17187466917297628,True,0.01430746650180181,3.903641647098845,3.903641647098845,0.0,0.0
0.05,14,5,False,7.726851851851851,0.0,0.0,0.8335197295747457,True,0.012546894552277602,3.9068874413362122,3.9068874413362122,0.0,0.0
0.05,14,10,False,7.726851851851851,0.0,0.0,1.0,True,0.17323837201525033,3.3229256784016874,3.3229256784016874,0.13011111111111107,0.13011111111111107
0.05,14,15,False,7.726851851851851,0.0,0.9208163265306122,1.0,True,0.3298888888888889,2.1157629629629637,2.1157629629629637,0.0,0.0
0.05,14,20,False,7.726851851851851,0.0,0.9208163265306122,1.0,True,0.3298888888888889,2.1157629629629637,2.1157629629629637,0.0,0.0
0.05,14,25,False,7.726851851851851,0.0,0.9208163265306122,1.0,True,0.3298888888888889,2.1157629629629637,2.1157629629629637,0.0,0.0
0.05,14,30,False,7.726851851851851,0.0,0.9208163265306122,1.0,True,0.3298888888888889,2.1157629629629637,2.1157629629629637,0.0,0.0
0.05,16,0,False,8.391534391534393,0.0,0.0,0.17254092785219727,True,0.02201680744763612,3.9038615068625413,3.9038615068625413,0.0,0.0
0.05,16,5,False,8.391534391534393,0.0,0.0,0.8256739446397336,True,0.01614568729383233,3.9042185149584325,3.9042185149584325,0.0,0.0
0.05,16,10,False,8.391534391534393,0.0,0.0,1.0,True,0.6941989166833615,3.9484397718757096,3.9484397718757096,0.6366166666666664,0.6366166666666664
0.05,16,15,False,8.391534391534393,0.0,1.0,1.0,True,0.08544444444444477,1.7608927248677233,1.7608927248677233,0.0,0.0
0.05,16,20,False,8.391534391534393,0.0,1.0,1.0,True,0.08544444444444477,1.6678010582010572,1.6678010582010572,0.0,0.0
0.05,16,25,False,8.391534391534393,0.0,1.0,1.0,True,0.08544444444444477,1.6678010582010572,1.6678010582010572,0.0,0.0
0.05,16,30,False,8.391534391534393,0.0,1.0,1.0,True,0.08544444444444477,1.6678010582010572,1.6678010582010572,0.0,0.0
0.05,18,0,False,9.089285714285715,0.0,0.0,0.17165804847358024,True,0.006108009881766477,3.903519107756545,3.903519107756545,0.0,0.0
0.05,18,5,False,9.089285714285715,0.0,0.0,0.8128067033239114,True,9.133286251575626e-05,3.9039778611242797,3.9039778611242797,0.0,0.0
0.05,18,10,False,9.089285714285715,0.0,0.0,1.0,True,0.016288676339607143,3.923448967668967,3.923448967668967,0.0,0.0
0.05,18,15,False,9.089285714285715,0.0,0.9869348934556439,1.0,True,0.24100000000000033,1.9243723809523825,1.9243723809523825,0.0,0.0
0.05,18,20,False,9.089285714285715,0.0,1.0,1.0,True,0.24100000000000033,1.1747857142857168,1.1747857142857168,0.0,0.0
0.05,18,25,False,9.089285714285715,0.0,1.0,1.0,True,0.24100000000000033,1.1747857142857168,1.1747857142857168,0.0,0.0
0.05,18,30,False,9.089285714285715,0.0,1.0,1.0,True,0.24100000000000033,1.1747857142857168,1.1747857142857168,0.0,0.0
0.05,20,0,False,9.82010582010582,0.0,0.0,0.1695559594858653,True,0.013660146011657825,3.9036000836312157,3.9036000836312157,0.0,0.0
0.05,20,5,False,9.82010582010582,0.0,0.0,0.795390335836837,True,0.00645444036278979,3.903530553359137,3.903530553359137,0.0,0.0
0.05,20,10,False,9.82010582010582,0.0,0.0,1.0,True,0.007259577396779921,3.907002853008877,3.907002853008877,0.0,0.0
0.05,20,15,False,9.82010582010582,0.0,0.14307597861305743,1.0,True,0.39655555555555533,2.5972074867724873,2.5972074867724873,0.3097888888888889,0.3097888888888889
0.05,20,20,False,9.82010582010582,0.0,1.0,1.0,True,0.39655555555555533,0.6437280423280436,0.6437280423280436,0.0,0.0
0.05,20,25,False,9.82010582010582,0.0,1.0,1.0,True,0.39655555555555533,0.6437280423280436,0.6437280423280436,0.0,0.0
0.05,20,30,False,9.82010582010582,0.0,1.0,1.0,True,0.39655555555555533,0.6437280423280436,0.6437280423280436,0.0,0.0
0.05,22,0,False,10.583994708994707,0.0,0.0,0.142897362263232,True,0.021437629919803438,3.9038284347828496,3.9038284347828496,0.0,0.0
0.05,22,5,False,10.583994708994707,0.0,0.0,0.7747404735855855,True,0.013961771662998442,3.9036167874696597,3.9036167874696597,0.0,0.0
0.05,22,10,False,10.583994708994707,0.0,0.0,1.0,True,0.008398005042653152,3.903979965007914,3.903979965007914,0.0,0.0
0.05,22,15,False,10.583994708994707,0.0,0.0,1.0,True,1.002793153079924,3.3560281714644935,3.3560281714644935,0.8653444444444445,0.8653444444444445
0.05,22,20,False,10.583994708994707,0.0,1.0,1.0,True,0.15211111111110986,0.4023535978835975,0.4023535978835975,0.0,0.0
0.05,22,25,False,10.583994708994707,0.0,1.0,1.0,True,0.3854811764556325,0.2685209704490683,0.2685209704490683,0.0,0.0
0.05,22,30,False,10.583994708994707,0.0,1.0,1.0,True,0.3854811764556325,0.2685209704490683,0.2685209704490683,0.0,0.0
0.05,24,0,False,11.38095238095238,0.0,0.0,0.16283952007726674,True,0.0056389709979452925,3.9035364328835884,3.9035364328835884,0.0,0.0
0.05,24,5,False,11.38095238095238,0.0,0.0,0.7519508977655683,True,0.021711113766214808,3.9038414964790933,3.9038414964790933,0.0,0.0
0.05,24,10,False,11.38095238095238,0.0,0.0,1.0,True,0.014686949713250904,3.903724935919997,3.903724935919997,0.0,0.0
0.05,24,15,False,11.38095238095238,0.0,0.0,1.0,True,0.010146294068649225,3.925244666997579,3.925244666997579,0.0,0.0
0.05,24,20,False,11.38095238095238,0.0,1.0,1.0,True,0.307666666666665,0.7513096031746054,0.7513096031746054,0.0,0.0
0.05,24,25,False,11.38095238095238,0.0,1.0,1.0,True,0.0016666666666665941,0.26528571428571457,0.26528571428571457,0.0,0.0
0.05,24,30,False,11.38095238095238,0.0,1.0,1.0,True,0.0016666666666665941,0.26528571428571457,0.26528571428571457,0.0,0.0
0.05,26,0,False,12.210978835978835,0.0,0.0,0.15868997348822847,True,0.01313448395284213,3.9035821093675453,3.9035821093675453,0.0,0.0
0.05,26,5,False,12.210978835978835,0.0,0.0,0.727897910888697,True,0.005863027002784432,3.9035259508727167,3.9035259508727167,0.0,0.0
0.05,26,10,False,12.210978835978835,0.0,0.0,1.0,True,0.022115903545506056,3.903883614248408,3.903883614248408,0.0,0.0
0.05,26,15,False,12.210978835978835,0.0,0.0,1.0,True,0.002286247296823394,3.9067617464980424,3.9067617464980424,0.0,0.0
0.05,26,20,False,12.210978835978835,0.0,1.0,1.0,True,0.4632222222222204,1.5543238359788392,1.5543238359788392,0.3913666666666664,0.3913666666666664
0.05,26,25,False,12.210978835978835,0.0,1.0,1.0,True,0.15722222222222293,0.13951494708994705,0.13951494708994705,0.0,0.0
0.05,26,30,False,12.210978835978835,0.0,1.0,1.0,True,0.030722222222222872,0.12232328042328344,0.12232328042328344,0.0,0.0
0.05,28,0,False,13.074074074074073,0.0,0.0,0.15425138637704017,True,0.020921129016532668,3.90380922856279,3.90380922856279,0.0,0.0
0.05,28,5,False,13.074074074074073,0.0,0.0,0.7032616271747193,True,0.013389985308655178,3.9035896137809347,3.9035896137809347,0.0,0.0
0.05,28,10,False,13.074074074074073,0.0,0.0,1.0,True,0.006129021368945126,3.903522755433511,3.903522755433511,0.0,0.0
0.05,28,15,False,13.074074074074073,0.0,0.0,1.0,True,0.0017926063855950337,3.9042339129722707,3.9042339129722707,0.0,0.0
0.05,28,20,False,13.074074074074073,0.0,0.6687136320714687,1.0,True,1.0187777777777756,2.41741907407408,2.41741907407408,0.9469222222222222,0.9469222222222222
0.05,28,25,False,13.074074074074073,0.0,1.0,1.0,True,0.31277777777777893,0.23893851851851355,0.23893851851851355,0.0,0.0
0.05,28,30,False,13.074074074074073,0.0,1.0,1.0,True,0.5127777777777781,0.0031851851851838475,0.0031851851851838475,0.0,0.0
0.05,30,0,False,13.970238095238095,0.0,0.0,0.14965527300040501,True,0.005200069917235185,3.9035591478777834,3.9035591478777834,0.0,0.0
0.05,30,5,False,13.970238095238095,0.0,0.0,0.6785546734135243,True,0.02117458356188949,3.903817733063957,3.903817733063957,0.0,0.0
0.05,30,10,False,13.970238095238095,0.0,0.0,1.0,True,0.013661517440508308,3.903600362971088,3.903600362971088,0.0,0.0
0.05,30,15,False,13.970238095238095,0.0,0.0,1.0,True,0.006916457246739342,3.9035999649922006,3.9035999649922006,0.0,0.0
0.05,30,20,False,13.970238095238095,0.0,0.060769996451273595,1.0,True,1.5743333333333314,3.313583095238095,3.313583095238095,1.5024777777777776,1.5024777777777776
0.05,30,25,False,13.970238095238095,0.0,1.0,1.0,True,0.20100253393259604,0.08062045562849907,0.08062045562849907,0.015488888888888663,0.015488888888888663
0.05,30,30,True,13.970238095238095,2.268333333333335,1.0,1.0,True,2.268333333333335,-0.10476190476190528,-0.10476190476190528,0.0,0.0
0.05,32,0,False,14.899470899470902,0.0,0.0,0.14500194796114732,True,0.012626288170107355,3.9035678043623365,3.9035678043623365,0.0,0.0
0.05,32,5,False,14.899470899470902,0.0,0.0,0.654152219746723,True,0.005416284173798181,3.903547198394077,3.903547198394077,0.0,0.0
0.05,32,10,False,14.899470899470902,0.0,0.0,1.0,True,0.021434204414318467,3.903827669000383,3.903827669000383,0.0,0.0
0.05,32,15,False,14.899470899470902,0.0,0.0,1.0,True,0.014108344966459699,3.9036438397569926,3.9036438397569926,0.0,0.0
0.05,32,20,False,14.899470899470902,0.0,0.0,1.0,True,0.010614227432455707,3.895631926270444,3.895631926270444,0.0,0.0
0.05,32,25,False,14.899470899470902,0.0,1.0,1.0,True,0.529888888888886,0.2594681216931294,0.2594681216931294,0.47294444444444417,0.47294444444444417
0.05,32,30,True,14.899470899470902,2.2238888888888906,1.0,1.0,True,2.2238888888888906,-0.22164798941798747,-0.22164798941798747,0.0,0.0
0.05,34,0,False,15.861772486772487,0.0,0.0,0.14036618997531763,True,0.020414523005439184,3.903792425976488,3.903792425976488,0.0,0.0
0.05,34,5,False,15.861772486772487,0.0,0.0,0.6303199374899404,True,0.012878101906187253,3.903574475974634,3.903574475974634,0.0,0.0
0.05,34,10,False,15.861772486772487,0.0,0.0,1.0,True,0.005634649780518364,3.9035356722790597,3.9035356722790597,0.0,0.0
0.05,34,15,False,15.861772486772487,0.0,0.0,1.0,True,0.021759779116333165,3.9038520942223203,3.9038520942223203,0.0,0.0
0.05,34,20,False,15.861772486772487,0.0,0.0,1.0,True,0.016918001473717158,3.903929690225284,3.903929690225284,0.0,0.0
0.05,34,25,False,15.861772486772487,0.0,1.0,1.0,True,1.085444444444441,1.2217697089947217,1.2217697089947217,1.0284999999999997,1.0284999999999997
0.05,34,30,True,15.861772486772487,0.3794444444444458,1.0,1.0,True,0.3794444444444458,-0.021692513227512755,-0.021692513227512755,0.0,0.0
0.05,36,0,False,16.857142857142858,0.0,0.0,0.13580237719111937,True,0.00476710827188577,3.9035830838712657,3.9035830838712657,0.0,0.0
0.05,36,5,False,16.857142857142858,0.0,0.0,0.6072383128042327,True,0.020666195833662953,3.9038004391459085,3.9038004391459085,0.0,0.0
0.05,36,10,False,16.857142857142858,0.0,0.0,1.0,True,0.013130629988306334,3.9035813360025715,3.9035813360025715,0.0,0.0
0.05,36,15,False,16.857142857142858,0.0,0.0,1.0,True,0.005876452542862877,3.903528284276793,3.903528284276793,0.0,0.0
0.05,36,20,False,16.857142857142858,0.0,0.0,1.0,True,0.00015064860029873756,3.903974595878279,3.903974595878279,0.0,0.0
0.05,36,25,False,16.857142857142858,0.0,0.8028631535585706,1.0,True,1.6409999999999956,2.217140079365092,2.217140079365092,1.584055555555555,1.584055555555555
0.05,36,30,False,16.857142857142858,0.0,1.0,1.0,True,0.2528328166814704,0.04209843095851529,0.04209843095851529,0.19516666666666627,0.19516666666666627
0.05,38,0,False,17.885582010582006,0.0,0.0,0.1313488985006256,True,0.012121908268810828,3.903554446191561,3.903554446191561,0.0,0.0
0.05,38,5,False,17.885582010582006,0.0,0.0,0.5850228701671631,True,0.004982528862766459,3.903570908343494,3.903570908343494,0.0,0.0
0.05,38,10,False,17.885582010582006,0.0,0.0,1.0,True,0.020917988511215506,3.9038085234832467,3.9038085234832467,0.0,0.0
0.05,38,15,False,17.885582010582006,0.0,0.0,1.0,True,0.01339251828683262,3.9035901210296915,3.9035901210296915,0.0,0.0
0.05,38,20,False,17.885582010582006,0.0,0.0,1.0,True,0.006345041469826906,3.9035545412903945,3.9035545412903945,0.0,0.0
0.05,38,25,False,17.885582010582006,0.0,0.3443294940517294,1.0,True,2.1965555555555505,3.2455792328042294,3.2455792328042294,2.139611111111111,2.139611111111111
0.05,38,30,False,17.885582010582006,0.0,1.0,1.0,True,0.9390447947695549,0.07378583834513552,0.07378583834513552,0.7016722222222223,0.7016722222222223
0.05,40,0,False,18.947089947089946,0.0,0.0,0.13026430553005663,True,0.01991043854024896,3.90377636835093,3.90377636835093,0.0,0.0
0.05,40,5,False,18.947089947089946,0.0,0.0,0.5637404774654377,True,0.012373322338534443,3.903560948073758,3.903560948073758,0.0,0.0
0.05,40,10,False,18.947089947089946,0.0,0.0,0.9834451538143832,True,0.005197864217883954,3.9035587600723263,3.9035587600723263,0.0,0.0
0.05,40,15,False,18.947089947089946,0.0,0.0,1.0,True,0.02117350826458612,3.9038174914144124,3.9038174914144124,0.0,0.0
0.05,40,20,False,18.947089947089946,0.0,0.0,1.0,True,0.01374641468828008,3.9036164990691207,3.9036164990691207,0.0,0.0
0.05,40,25,False,18.947089947089946,0.0,0.0,1.0,True,0.018914542744503614,3.8798244893208507,3.8798244893208507,0.0,0.0
0.05,40,30,False,18.947089947089946,0.0,1.0,1.0,True,1.287767624361281,0.05796641823873916,0.05796641823873916,1.1591277777777775,1.1591277777777775
0.05,42,0,False,20.041666666666664,0.0,0.0,0.1302643384823832,True,0.00433569885162334,3.9036074634887656,3.9036074634887656,0.0,0.0
0.05,42,5,False,20.041666666666664,0.0,0.0,0.5434221940328177,True,0.020161905224098577,3.9037842465759782,3.9037842465759782,0.0,0.0
0.05,42,10,False,20.041666666666664,0.0,0.0,0.9470362125183992,True,0.012624595851009446,3.90356746605367,3.90356746605367,0.0,0.0
0.05,42,15,False,20.041666666666664,0.0,0.0,1.0,True,0.005414381451790819,3.9035468627425702,3.9035468627425702,0.0,0.0
0.05,42,20,False,20.041666666666664,0.0,0.0,1.0,True,0.021468318641623747,3.9038352136279544,3.9038352136279544,0.0,0.0
0.05,42,25,False,20.041666666666664,0.0,0.0,1.0,True,0.01468316677277838,3.903631951053602,3.903631951053602,0.0,0.0
0.05,42,30,False,20.041666666666664,0.0,1.0,1.0,True,1.7076666666666602,0.8687250000000128,0.8687250000000128,1.6656333333333326,1.6656333333333326
0.05,44,0,False,21.169312169312164,0.0,0.0,0.13026441858559795,True,0.011618581232539907,3.9035414768215277,3.9035414768215277,0.0,0.0
0.05,44,5,False,21.169312169312164,0.0,0.0,0.524073217924872,True,0.004551013367854909,3.903595184496777,3.903595184496777,0.0,0.0
0.05,44,10,False,21.169312169312164,0.0,0.0,0.9124239703011708,True,0.020413228887984473,3.903792136773146,3.903792136773146,0.0,0.0
0.05,44,15,False,21.169312169312164,0.0,0.0,1.0,True,0.0128761480296668,3.9035740839828152,3.9035740839828152,0.0,0.0
0.05,44,20,False,21.169312169312164,0.0,0.0,1.0,True,0.005646517686807871,3.9035377529980595,3.9035377529980595,0.0,0.0
0.05,44,25,False,21.169312169312164,0.0,0.0,1.0,True,0.022067757294443213,3.9039080114331357,3.9039080114331357,0.0,0.0
0.05,44,30,False,21.169312169312164,0.0,0.809747467373213,1.0,True,2.263222222222215,1.9963705026455125,1.9963705026455125,2.2211888888888884,2.2211888888888884
