max_deceleration,velocity,lead_speed_delta,Crash,initial_distance,speed_difference,reacted,ego_speed,perceived_gap,true_gap,perceived_speed,true_speed
0.05,12,0,False,6.666666666666666,0.0,True,3.0133333333333328,6.634086666666666,6.634086666666666,2.940933333333333,2.940933333333333
0.05,12,5,False,6.666666666666666,0.0,True,1.5883333333333323,5.043521111111111,5.043521111111111,1.3558444444444442,1.3558444444444442
0.05,12,10,False,6.666666666666666,0.0,True,0.15653933333333214,3.134032733333332,3.134032733333332,0.0,0.0
0.05,12,15,False,6.666666666666666,0.0,True,0.15653933333333214,2.7910960666666655,2.7910960666666655,0.0,0.0
0.05,12,20,False,6.666666666666666,0.0,True,0.15653933333333214,2.7910960666666655,2.7910960666666655,0.0,0.0
0.05,12,25,False,6.666666666666666,0.0,True,0.15653933333333214,2.7910960666666655,2.7910960666666655,0.0,0.0
0.05,12,30,False,6.666666666666666,0.0,True,0.15653933333333214,2.7910960666666655,2.7910960666666655,0.0,0.0
0.05,14,0,False,7.777777777777778,0.0,True,3.5688888888888886,7.745197777777778,7.745197777777778,3.496488888888889,3.496488888888889
0.05,14,5,False,7.777777777777778,0.0,True,2.1438888888888883,6.154632222222221,6.154632222222221,1.9114,1.9114
0.05,14,10,False,7.777777777777778,0.0,True,0.7120948888888882,4.220515511111111,4.220515511111111,0.4244111111111111,0.4244111111111111
0.05,14,15,False,7.777777777777778,0.0,True,0.7120948888888882,3.068873844444444,3.068873844444444,0.0,0.0
0.05,14,20,False,7.777777777777778,0.0,True,0.7120948888888882,3.068873844444444,3.068873844444444,0.0,0.0
0.05,14,25,False,7.777777777777778,0.0,True,0.7120948888888882,3.068873844444444,3.068873844444444,0.0,0.0
0.05,14,30,False,7.777777777777778,0.0,True,0.7120948888888882,3.068873844444444,3.068873844444444,0.0,0.0
0.05,16,0,False,8.88888888888889,0.0,True,4.124444444444444,8.856308888888886,8.856308888888886,4.052044444444444,4.052044444444444
0.05,16,5,False,8.88888888888889,0.0,True,2.6994444444444436,7.265743333333334,7.265743333333334,2.4669555555555553,2.4669555555555553
0.05,16,10,False,8.88888888888889,0.0,True,1.2676504444444432,5.331626622222225,5.331626622222225,0.9799666666666664,0.9799666666666664
0.05,16,15,False,8.88888888888889,0.0,True,0.5083564444444432,3.388907644444445,3.388907644444445,0.0,0.0
0.05,16,20,False,8.88888888888889,0.0,True,0.5083564444444432,3.295815977777779,3.295815977777779,0.0,0.0
0.05,16,25,False,8.88888888888889,0.0,True,0.5083564444444432,3.295815977777779,3.295815977777779,0.0,0.0
0.05,16,30,False,8.88888888888889,0.0,True,0.5083564444444432,3.295815977777779,3.295815977777779,0.0,0.0
0.05,18,0,False,10.0,0.0,True,4.68,9.96742,9.96742,4.6076,4.6076
0.05,18,5,False,10.0,0.0,True,3.254999999999999,8.376854444444447,8.376854444444447,3.022511111111111,3.022511111111111
0.05,18,10,False,10.0,0.0,True,1.8232059999999986,6.4427377333333355,6.4427377333333355,1.5355222222222222,1.5355222222222222
0.05,18,15,False,10.0,0.0,True,0.3046179999999984,4.237163066666668,4.237163066666668,0.048533333333333206,0.048533333333333206
0.05,18,20,False,10.0,0.0,True,0.3046179999999984,3.4875764000000027,3.4875764000000027,0.0,0.0
0.05,18,25,False,10.0,0.0,True,0.3046179999999984,3.4875764000000027,3.4875764000000027,0.0,0.0
0.05,18,30,False,10.0,0.0,True,0.3046179999999984,3.4875764000000027,3.4875764000000027,0.0,0.0
0.05,20,0,False,11.11111111111111,0.0,True,5.235555555555555,11.078531111111111,11.078531111111111,5.163155555555555,5.163155555555555
0.05,20,5,False,11.11111111111111,0.0,True,3.8105555555555544,9.487965555555558,9.487965555555558,3.578066666666667,3.578066666666667
0.05,20,10,False,11.11111111111111,0.0,True,2.378761555555554,7.553848844444446,7.553848844444446,2.0910777777777776,2.0910777777777776
0.05,20,15,False,11.11111111111111,0.0,True,0.8601735555555537,5.348274177777779,5.348274177777779,0.6040888888888888,0.6040888888888888
0.05,20,20,False,11.11111111111111,0.0,True,0.10087955555555372,3.644155111111113,3.644155111111113,0.0,0.0
0.05,20,25,False,11.11111111111111,0.0,True,0.10087955555555372,3.644155111111113,3.644155111111113,0.0,0.0
0.05,20,30,False,11.11111111111111,0.0,True,0.10087955555555372,3.644155111111113,3.644155111111113,0.0,0.0
0.05,22,0,False,12.222222222222221,0.0,True,5.79111111111111,12.189642222222222,12.189642222222222,5.71871111111111,5.71871111111111
0.05,22,5,False,12.222222222222221,0.0,True,4.36611111111111,10.599076666666669,10.599076666666669,4.133622222222222,4.133622222222222
0.05,22,10,False,12.222222222222221,0.0,True,2.9343171111111093,8.66495995555556,8.66495995555556,2.646633333333333,2.646633333333333
0.05,22,15,False,12.222222222222221,0.0,True,1.415729111111109,6.45938528888889,6.45938528888889,1.1596444444444445,1.1596444444444445
0.05,22,20,False,12.222222222222221,0.0,True,0.656435111111109,4.098202888888891,4.098202888888891,0.0,0.0
0.05,22,25,False,12.222222222222221,0.0,True,0.656435111111109,3.7552662222222244,3.7552662222222244,0.0,0.0
0.05,22,30,False,12.222222222222221,0.0,True,0.656435111111109,3.7552662222222244,3.7552662222222244,0.0,0.0
0.05,24,0,False,13.333333333333332,0.0,True,6.346666666666666,13.30075333333333,13.30075333333333,6.274266666666666,6.274266666666666
0.05,24,5,False,13.333333333333332,0.0,True,4.921666666666665,11.710187777777776,11.710187777777776,4.689177777777777,4.689177777777777
0.05,24,10,False,13.333333333333332,0.0,True,3.4898726666666646,9.776071066666667,9.776071066666667,3.2021888888888888,3.2021888888888888
0.05,24,15,False,13.333333333333332,0.0,True,1.9712846666666644,7.570496400000001,7.570496400000001,1.7151999999999998,1.7151999999999998
0.05,24,20,False,13.333333333333332,0.0,True,0.4526966666666642,5.093463777777779,5.093463777777779,0.22821111111111114,0.22821111111111114
0.05,24,25,False,13.333333333333332,0.0,True,0.4526966666666642,3.8211076666666672,3.8211076666666672,0.0,0.0
0.05,24,30,False,13.333333333333332,0.0,True,0.4526966666666642,3.8211076666666672,3.8211076666666672,0.0,0.0
0.05,26,0,False,14.444444444444445,0.0,True,6.902222222222222,14.411864444444443,14.411864444444443,6.829822222222222,6.829822222222222
0.05,26,5,False,14.444444444444445,0.0,True,5.477222222222221,12.821298888888887,12.821298888888887,5.244733333333333,5.244733333333333
0.05,26,10,False,14.444444444444445,0.0,True,4.045428222222221,10.887182177777778,10.887182177777778,3.7577444444444446,3.7577444444444446
0.05,26,15,False,14.444444444444445,0.0,True,2.526840222222221,8.68160751111111,8.68160751111111,2.270755555555555,2.270755555555555
0.05,26,20,False,14.444444444444445,0.0,True,1.0082522222222208,6.204574888888888,6.204574888888888,0.7837666666666665,0.7837666666666665
0.05,26,25,False,14.444444444444445,0.0,True,0.24895822222222075,3.944859066666667,3.944859066666667,0.0,0.0
0.05,26,30,False,14.444444444444445,0.0,True,0.24895822222222075,3.851767400000001,3.851767400000001,0.0,0.0
0.05,28,0,False,15.555555555555555,0.0,True,7.457777777777777,15.52297555555555,15.52297555555555,7.385377777777777,7.385377777777777
0.05,28,5,False,15.555555555555555,0.0,True,6.032777777777777,13.93241,13.93241,5.800288888888888,5.800288888888888
0.05,28,10,False,15.555555555555555,0.0,True,4.600983777777777,11.998293288888885,11.998293288888885,4.3133,4.3133
0.05,28,15,False,15.555555555555555,0.0,True,3.0823957777777764,9.792718622222221,9.792718622222221,2.826311111111111,2.826311111111111
0.05,28,20,False,15.555555555555555,0.0,True,1.5638077777777761,7.315686,7.315686,1.3393222222222223,1.3393222222222223
0.05,28,25,False,15.555555555555555,0.0,True,0.04521977777777608,4.596832088888889,4.596832088888889,0.0,0.0
0.05,28,30,False,15.555555555555555,0.0,True,0.04521977777777608,3.8472454222222234,3.8472454222222234,0.0,0.0
0.05,30,0,False,16.666666666666668,0.0,True,8.01333333333334,16.634086666666665,16.634086666666665,7.940933333333334,7.940933333333334
0.05,30,5,False,16.666666666666668,0.0,True,6.58833333333334,15.043521111111108,15.043521111111108,6.355844444444444,6.355844444444444
0.05,30,10,False,16.666666666666668,0.0,True,5.15653933333334,13.109404399999992,13.109404399999992,4.868855555555555,4.868855555555555
0.05,30,15,False,16.666666666666668,0.0,True,3.63795133333334,10.903829733333325,10.903829733333325,3.381866666666667,3.381866666666667
