max_deceleration,velocity,lead_speed_delta,Crash,initial_distance,speed_difference,reacted,ego_speed,perceived_gap,true_gap,perceived_speed,true_speed
0.05,12,0,False,7.629050925925926,0.0,True,0.6768333333333323,2.011294259259217,2.011294259259217,0.0,0.0
0.05,12,5,False,7.629050925925926,0.0,True,0.6768333333333323,2.0495120370370428,2.0495120370370428,0.0,0.0
0.05,12,10,False,7.629050925925926,0.0,True,0.6768333333333323,2.0137209259259263,2.0137209259259263,0.0,0.0
0.05,12,15,False,7.629050925925926,0.0,True,0.6768333333333323,1.6707842592592597,1.6707842592592597,0.0,0.0
0.05,12,20,False,7.629050925925926,0.0,True,0.6768333333333323,1.6707842592592597,1.6707842592592597,0.0,0.0
0.05,12,25,False,7.629050925925926,0.0,True,0.6768333333333323,1.6707842592592597,1.6707842592592597,0.0,0.0
0.05,12,30,False,7.629050925925926,0.0,True,0.6768333333333323,1.6707842592592597,1.6707842592592597,0.0,0.0
0.05,14,0,False,8.588413065843621,0.0,True,0.4730948888888885,1.8066876436213954,1.8066876436213954,0.0,0.0
0.05,14,5,False,8.588413065843621,0.0,True,0.4730948888888885,1.806099910288073,1.806099910288073,0.0,0.0
0.05,14,10,False,8.588413065843621,0.0,True,0.4730948888888885,1.7824041102880672,1.7824041102880672,0.0,0.0
0.05,14,15,False,8.588413065843621,0.0,True,0.4730948888888885,1.8133051991769555,1.8133051991769555,0.0,0.0
0.05,14,20,False,8.588413065843621,0.0,True,0.4730948888888885,1.8133051991769555,1.8133051991769555,0.0,0.0
0.05,14,25,False,8.588413065843621,0.0,True,0.4730948888888885,1.8133051991769555,1.8133051991769555,0.0,0.0
0.05,14,30,False,8.588413065843621,0.0,True,0.4730948888888885,1.8133051991769555,1.8133051991769555,0.0,0.0
0.05,16,0,False,9.599215534979425,0.0,True,0.26935644444444373,1.5641784238683636,1.5641784238683636,0.0,0.0
0.05,16,5,False,9.599215534979425,0.0,True,0.26935644444444373,1.5529597127572616,1.5529597127572616,0.0,0.0
0.05,16,10,False,9.599215534979425,0.0,True,0.26935644444444373,1.5602569794238752,1.5602569794238752,0.0,0.0
0.05,16,15,False,9.599215534979425,0.0,True,0.26935644444444373,1.5705797572016467,1.5705797572016467,0.0,0.0
0.05,16,20,False,9.599215534979425,0.0,True,0.26935644444444373,1.5582950238683138,1.5582950238683138,0.0,0.0
0.05,16,25,False,9.599215534979425,0.0,True,0.26935644444444373,1.5582950238683138,1.5582950238683138,0.0,0.0
0.05,16,30,False,9.599215534979425,0.0,True,0.26935644444444373,1.5582950238683138,1.5582950238683138,0.0,0.0
0.05,18,0,False,10.640624999999998,0.0,True,0.06561799999999862,1.3390088000000206,1.3390088000000206,0.0,0.0
0.05,18,5,False,10.640624999999998,0.0,True,0.06561799999999862,1.3342018222222345,1.3342018222222345,0.0,0.0
0.05,18,10,False,10.640624999999998,0.0,True,0.06561799999999862,1.3366316222222219,1.3366316222222219,0.0,0.0
0.05,18,15,False,10.640624999999998,0.0,True,0.06561799999999862,1.3396834666666573,1.3396834666666573,0.0,0.0
0.05,18,20,False,10.640624999999998,0.0,True,0.06561799999999862,1.3338207999999918,1.3338207999999918,0.0,0.0
0.05,18,25,False,10.640624999999998,0.0,True,0.06561799999999862,1.3338207999999918,1.3338207999999918,0.0,0.0
0.05,18,30,False,10.640624999999998,0.0,True,0.06561799999999862,1.3338207999999918,1.3338207999999918,0.0,0.0
0.05,20,0,False,11.682291666666666,0.0,True,0.6211735555555539,1.9859384666665578,1.9859384666665578,0.0,0.0
0.05,20,5,False,11.682291666666666,0.0,True,0.6211735555555539,1.9372443999999875,1.9372443999999875,0.0,0.0
0.05,20,10,False,11.682291666666666,0.0,True,0.6211735555555539,1.9613187777778096,1.9613187777778096,0.0,0.0
0.05,20,15,False,11.682291666666666,0.0,True,0.6211735555555539,1.973396266666673,1.973396266666673,0.0,0.0
0.05,20,20,False,11.682291666666666,0.0,True,0.6211735555555539,1.9730507555555592,1.9730507555555592,0.0,0.0
0.05,20,25,False,11.682291666666666,0.0,True,0.6211735555555539,1.9730507555555592,1.9730507555555592,0.0,0.0
0.05,20,30,False,11.682291666666666,0.0,True,0.6211735555555539,1.9730507555555592,1.9730507555555592,0.0,0.0
0.05,22,0,False,12.723958333333332,0.0,True,0.4174351111111091,1.7211045111110268,1.7211045111110268,0.0,0.0
0.05,22,5,False,12.723958333333332,0.0,True,0.4174351111111091,1.7209664000001057,1.7209664000001057,0.0,0.0
0.05,22,10,False,12.723958333333332,0.0,True,0.4174351111111091,1.740414022222244,1.740414022222244,0.0,0.0
0.05,22,15,False,12.723958333333332,0.0,True,0.4174351111111091,1.7420155333333467,1.7420155333333467,0.0,0.0
0.05,22,20,False,12.723958333333332,0.0,True,0.4174351111111091,1.7278255111111163,1.7278255111111163,0.0,0.0
0.05,22,25,False,12.723958333333332,0.0,True,0.4174351111111091,1.7112793111111158,1.7112793111111158,0.0,0.0
0.05,22,30,False,12.723958333333332,0.0,True,0.4174351111111091,1.7112793111111158,1.7112793111111158,0.0,0.0
0.05,24,0,False,13.765624999999998,0.0,True,0.21369666666666443,1.4935796000002286,1.4935796000002286,0.0,0.0
0.05,24,5,False,13.765624999999998,0.0,True,0.21369666666666443,1.4939504666668144,1.4939504666668144,0.0,0.0
0.05,24,10,False,13.765624999999998,0.0,True,0.21369666666666443,1.4912761111111168,1.4912761111111168,0.0,0.0
0.05,24,15,False,13.765624999999998,0.0,True,0.21369666666666443,1.494819800000056,1.494819800000056,0.0,0.0
0.05,24,20,False,13.765624999999998,0.0,True,0.21369666666666443,1.4908350222222202,1.4908350222222202,0.0,0.0
0.05,24,25,False,13.765624999999998,0.0,True,0.21369666666666443,1.502634933333332,1.502634933333332,0.0,0.0
0.05,24,30,False,13.765624999999998,0.0,True,0.21369666666666443,1.502634933333332,1.502634933333332,0.0,0.0
0.05,26,0,False,14.807291666666664,0.0,True,0.009958222222220536,1.9262596000001482,1.9262596000001482,0.0,0.0
0.05,26,5,False,14.807291666666664,0.0,True,0.009958222222220536,1.9350821777778195,1.9350821777778195,0.0,0.0
0.05,26,10,False,14.807291666666664,0.0,True,0.009958222222220536,1.854296955555573,1.854296955555573,0.0,0.0
0.05,26,15,False,14.807291666666664,0.0,True,0.009958222222220536,1.8719963111110838,1.8719963111110838,0.0,0.0
0.05,26,20,False,14.807291666666664,0.0,True,0.009958222222220536,1.8739337777777338,1.8739337777777338,0.0,0.0
0.05,26,25,False,14.807291666666664,0.0,True,0.009958222222220536,1.8233839777777279,1.8233839777777279,0.0,0.0
0.05,26,30,False,14.807291666666664,0.0,True,0.009958222222220536,1.8062217111110614,1.8062217111110614,0.0,0.0
0.05,28,0,False,15.848958333333332,0.0,True,0.5655137777777762,1.9021954000001218,1.9021954000001218,0.0,0.0
0.05,28,5,False,15.848958333333332,0.0,True,0.5655137777777762,1.9215015555554347,1.9215015555554347,0.0,0.0
0.05,28,10,False,15.848958333333332,0.0,True,0.5655137777777762,1.888184488888787,1.888184488888787,0.0,0.0
0.05,28,15,False,15.848958333333332,0.0,True,0.5655137777777762,1.897351066666638,1.897351066666638,0.0,0.0
0.05,28,20,False,15.848958333333332,0.0,True,0.5655137777777762,1.8922351111111242,1.8922351111111242,0.0,0.0
0.05,28,25,False,15.848958333333332,0.0,True,0.5655137777777762,1.8735767333333344,1.8735767333333344,0.0,0.0
0.05,28,30,False,15.848958333333332,0.0,True,0.5655137777777762,1.8994967111111114,1.8994967111111114,0.0,0.0
0.05,30,0,False,16.890625,0.0,True,0.3617753333333328,1.649338200000071,1.649338200000071,0.0,0.0
0.05,30,5,False,16.890625,0.0,True,0.3617753333333328,1.651606577777625,1.651606577777625,0.0,0.0
0.05,30,10,False,16.890625,0.0,True,0.3617753333333328,1.6733261999999245,1.6733261999999245,0.0,0.0
0.05,30,15,False,16.890625,0.0,True,0.3617753333333328,1.6490492000001398,1.6490492000001398,0.0,0.0
0.05,30,20,False,16.890625,0.0,True,0.3617753333333328,1.682552600000009,1.682552600000009,0.0,0.0
0.05,30,25,False,16.890625,0.0,True,0.3617753333333328,1.6783105777777836,1.6783105777777836,0.0,0.0
0.05,30,30,False,16.890625,0.0,True,0.3617753333333328,1.6741849333333336,1.6741849333333336,0.0,0.0
0.05,32,0,False,17.932291666666668,0.0,True,0.15803688888888812,1.445278822221849,1.445278822221849,0.0,0.0
0.05,32,5,False,17.932291666666668,0.0,True,0.15803688888888812,1.4388277999997117,1.4388277999997117,0.0,0.0
0.05,32,10,False,17.932291666666668,0.0,True,0.15803688888888812,1.4312214888891832,1.4312214888891832,0.0,0.0
0.05,32,15,False,17.932291666666668,0.0,True,0.15803688888888812,1.4303960666668347,1.4303960666668347,0.0,0.0
0.05,32,20,False,17.932291666666668,0.0,True,0.15803688888888812,1.4297157777778162,1.4297157777778162,0.0,0.0
0.05,32,25,False,17.932291666666668,0.0,True,0.15803688888888812,1.4430308222222807,1.4430308222222807,0.0,0.0
0.05,32,30,False,17.932291666666668,0.0,True,0.15803688888888812,1.4436460222223078,1.4436460222223078,0.0,0.0
0.05,34,0,False,18.973958333333332,0.0,True,0.7135924444444438,2.0926212222221467,2.0926212222221467,0.0,0.0
0.05,34,5,False,18.973958333333332,0.0,True,0.7135924444444438,2.0971857555556115,2.0971857555556115,0.0,0.0
0.05,34,10,False,18.973958333333332,0.0,True,0.7135924444444438,2.049142200000067,2.049142200000067,0.0,0.0
0.05,34,15,False,18.973958333333332,0.0,True,0.7135924444444438,2.0583162222222713,2.0583162222222713,0.0,0.0
0.05,34,20,False,18.973958333333332,0.0,True,0.7135924444444438,2.060765333333383,2.060765333333383,0.0,0.0
0.05,34,25,False,18.973958333333332,0.0,True,0.7135924444444438,2.0520743777777968,2.0520743777777968,0.0,0.0
0.05,34,30,False,18.973958333333332,0.0,True,0.7135924444444438,2.0987649777777806,2.0987649777777806,0.0,0.0
0.05,36,0,False,20.015625000000004,0.0,True,0.5098539999999995,1.8535630000000625,1.8535630000000625,0.0,0.0
0.05,36,5,False,20.015625000000004,0.0,True,0.5098539999999995,1.815433755555799,1.815433755555799,0.0,0.0
0.05,36,10,False,20.015625000000004,0.0,True,0.5098539999999995,1.8388450888889425,1.8388450888889425,0.0,0.0
0.05,36,15,False,20.015625000000004,0.0,True,0.5098539999999995,1.8343348666665706,1.8343348666665706,0.0,0.0
0.05,36,20,False,20.015625000000004,0.0,True,0.5098539999999995,1.8151760444443612,1.8151760444443612,0.0,0.0
0.05,36,25,False,20.015625000000004,0.0,True,0.5098539999999995,1.8560813999999946,1.8560813999999946,0.0,0.0
0.05,36,30,False,20.015625000000004,0.0,True,0.5098539999999995,1.8409624666666788,1.8409624666666788,0.0,0.0
0.05,38,0,False,21.057291666666664,0.0,True,0.30611555555555514,1.606506911111194,1.606506911111194,0.0,0.0
0.05,38,5,False,21.057291666666664,0.0,True,0.30611555555555514,1.606597488889034,1.606597488889034,0.0,0.0
0.05,38,10,False,21.057291666666664,0.0,True,0.30611555555555514,1.5999944444444596,1.5999944444444596,0.0,0.0
0.05,38,15,False,21.057291666666664,0.0,True,0.30611555555555514,1.615975977777592,1.615975977777592,0.0,0.0
0.05,38,20,False,21.057291666666664,0.0,True,0.30611555555555514,1.609152044444369,1.609152044444369,0.0,0.0
0.05,38,25,False,21.057291666666664,0.0,True,0.30611555555555514,1.6024080666667944,1.6024080666667944,0.0,0.0
0.05,38,30,False,21.057291666666664,0.0,True,0.30611555555555514,1.6017554000000098,1.6017554000000098,0.0,0.0
0.05,40,0,False,22.098958333333332,0.0,True,0.10237711111111047,1.3751022444450998,1.3751022444450998,0.0,0.0
0.05,40,5,False,22.098958333333332,0.0,True,0.10237711111111047,1.3721914222216158,1.3721914222216158,0.0,0.0
0.05,40,10,False,22.098958333333332,0.0,True,0.10237711111111047,1.3811441555549608,1.3811441555549608,0.0,0.0
0.05,40,15,False,22.098958333333332,0.0,True,0.10237711111111047,1.3800585111108008,1.3800585111108008,0.0,0.0
0.05,40,20,False,22.098958333333332,0.0,True,0.10237711111111047,1.380729222222553,1.380729222222553,0.0,0.0
0.05,40,25,False,22.098958333333332,0.0,True,0.10237711111111047,1.3760307555557576,1.3760307555557576,0.0,0.0
0.05,40,30,False,22.098958333333332,0.0,True,0.10237711111111047,1.3741440000001228,1.3741440000001228,0.0,0.0
0.05,42,0,False,23.140625,0.0,True,0.6579326666666653,1.9862243999996396,1.9862243999996396,0.0,0.0
0.05,42,5,False,23.140625,0.0,True,0.6579326666666653,1.996988933332955,1.996988933332955,0.0,0.0
0.05,42,10,False,23.140625,0.0,True,0.6579326666666653,2.0204371111111046,2.0204371111111046,0.0,0.0
