velocity,front_distance,lateral_velocities,Crash,Crash_front,initial_distance,reacted,ego_speed,perceived_gap,true_gap,perceived_lat_gap,true_lat_gap,perceived_speed,true_speed
10,2,-0.1,False,True,5.555555555555555,True,0.36027777777777703,2.3333608316243915,2.751194444444444,-1.728395585677018,-1.8399999999999999,0.0,0.0
10,2,-0.30000000000000004,False,True,5.555555555555555,True,0.36027777777777703,3.5951251639224964,2.751194444444444,-0.8507983912925641,-1.7199999999999998,0.0,0.0
10,2,-0.5000000000000001,False,True,5.555555555555555,True,0.36027777777777703,2.0049962342528698,2.751194444444444,-1.3840281983404186,-1.6,0.0,0.0
10,2,-0.7000000000000001,False,True,5.555555555555555,True,0.36027777777777703,3.631114277717357,2.751194444444444,-1.741020424502445,-1.48,0.0,0.0
10,2,-0.9000000000000001,False,True,5.555555555555555,True,0.36027777777777703,3.4997852311339637,3.0289722222222215,-1.4340926172858226,-1.3599999999999999,0.0,0.0
10,2,-1.1000000000000003,False,True,5.555555555555555,True,0.36027777777777703,2.6370271068813507,3.30675,-0.2275298761411264,-1.2399999999999998,0.0,0.0
10,2,-1.3000000000000003,False,True,5.555555555555555,True,0.36027777777777703,4.496892253738758,3.584527777777777,-1.1531564790760858,-1.1199999999999997,0.0,0.0
10,2,-1.5000000000000004,False,True,5.555555555555555,True,0.36027777777777703,3.6562395065191398,3.584527777777777,-0.6949389243509436,-0.9999999999999996,0.0,0.0
10,2,-1.7000000000000004,False,True,5.555555555555555,True,0.36027777777777703,2.6995630238847133,3.584527777777777,-0.28087662032214644,-0.8799999999999994,0.0,0.0
10,2,-1.9000000000000004,False,True,5.555555555555555,True,0.36027777777777703,3.378071152792093,3.8623055555555554,-1.311534691883577,-0.7599999999999998,0.0,0.0
10,2,-2.1000000000000005,False,True,5.555555555555555,True,0.36027777777777703,4.43671808159633,3.8623055555555554,-1.5936515875669257,-0.6399999999999992,0.0,0.0
10,2,-2.3000000000000007,False,True,5.555555555555555,True,0.36027777777777703,3.4880500761036712,3.8623055555555554,0.8904799150597511,-0.5199999999999996,0.0,0.0
10,2,-2.5000000000000004,False,True,5.555555555555555,True,0.36027777777777703,3.018529353058004,3.8623055555555554,-0.07605198872756058,-0.3999999999999999,0.0,0.0
10,2,-2.7000000000000006,False,True,5.555555555555555,True,0.36027777777777703,5.393517035123913,3.8623055555555554,-0.8037522300070372,-0.2799999999999998,0.0,0.0
10,2,-2.900000000000001,False,True,5.555555555555555,True,0.36027777777777703,3.4706257226815262,3.8623055555555554,-0.4954983426348356,-0.15999999999999925,0.0,0.0
10,7,-0.1,False,True,5.555555555555555,True,0.36027777777777703,2.197412246247139,2.751194444444443,-1.7842164706220025,-1.6599999999999997,0.0,0.0
10,7,-0.30000000000000004,False,True,5.555555555555555,True,0.36027777777777703,6.161616093302558,5.80675,-0.7953404292240998,-1.1800000000000002,0.0,0.0
10,7,-0.5000000000000001,False,False,5.555555555555555,True,0.36027777777777703,12.400774555758696,11.478972222222223,-1.476879539732247,-1.9,0.0,0.0
10,7,-0.7000000000000001,False,False,5.555555555555555,True,0.36027777777777703,12.76780727441844,12.034527777777777,-1.4818461450436755,-1.9,0.0,0.0
10,7,-0.9000000000000001,False,False,5.555555555555555,True,0.36027777777777703,12.336517605435064,12.312305555555556,-1.7562970548561943,-1.9,0.0,0.0
10,7,-1.1000000000000003,False,False,5.555555555555555,True,0.36027777777777703,13.638295436100991,12.590083333333334,-1.8625638350040468,-1.9,0.0,0.0
10,7,-1.3000000000000003,False,False,5.555555555555555,True,0.36027777777777703,13.502607144211316,12.867861111111113,-0.7390542601696042,-1.9,0.0,0.0
10,7,-1.5000000000000004,False,False,5.555555555555555,True,0.36027777777777703,11.92207825769909,12.867861111111113,-1.2980884317400787,-1.9,0.0,0.0
10,7,-1.7000000000000004,False,False,5.555555555555555,True,0.36027777777777703,12.946736771096896,12.867861111111113,-1.7089183046781082,-1.9,0.0,0.0
10,7,-1.9000000000000004,False,False,5.555555555555555,True,0.36027777777777703,12.976616036774194,13.145638888888888,-1.6686296844795037,-1.9,0.0,0.0
