long_dist,lat_vel,Crash,Crash type,minTTC,reacted,ego_speed,perceived_gap,true_gap,perceived_lat_gap,true_lat_gap,perceived_lat_speed,true_lat_speed,perceived_speed,true_speed,entry_ego_speed,entry_perceived_gap,entry_true_gap,entry_perceived_lat_gap,entry_true_lat_gap,entry_perceived_lat_speed,entry_true_lat_speed,entry_perceived_speed,entry_true_speed
1,0.0,False,0,4.0,True,13.88888888888889,-3.8824967206488905,-4.044444444444442,1.1772784002974483,1.6,0.0,0.0,8.333333333333334,8.333333333333334,,,,,,,,,
1,0.1,False,0,4.0,True,13.88888888888889,-3.9230492074305756,-4.044444444444442,1.2481670355866599,1.5,-0.1,-0.1,8.333333333333334,8.333333333333334,13.88888888888889,79.70151414323279,79.84444444444411,0.10561145097059566,-0.00999999999999579,-0.1,-0.1,8.333333333333334,8.333333333333334
1,0.2,False,0,4.0,True,13.88888888888889,-3.857547980777283,-4.044444444444442,2.8136467140366777,1.4,-0.2,-0.2,8.333333333333334,8.333333333333334,13.88888888888889,35.85353384326527,35.39999999999981,0.4327929115963123,-0.019999999999997353,-0.2,-0.2,8.333333333333334,8.333333333333334
1,0.30000000000000004,False,0,3.633333333333333,True,13.88888888888889,-3.252211374100507,-4.044444444444442,1.6784536688752154,1.3000000000000003,-0.30000000000000004,-0.30000000000000004,8.333333333333334,8.333333333333334,13.88888888888889,19.662533988909626,20.399999999999952,0.5964370209036547,-0.020000000000001572,-0.30000000000000004,-0.30000000000000004,8.333333333333334,8.333333333333334
1,0.4,False,0,2.3,True,13.88888888888889,-4.1652042347083755,-4.044444444444442,1.4769719429563293,1.2000000000000002,-0.4,-0.4,8.333333333333334,8.333333333333334,13.88888888888889,14.497610774604045,12.622222222222181,-0.903415422461878,-6.661338147750939e-16,-0.4,-0.4,8.333333333333334,8.333333333333334
1,0.5,False,0,1.5,True,13.76238888888889,-3.777717512110109,-4.057094444444442,1.3453580965949121,1.1,-0.5,-0.5,8.333333333333334,8.333333333333334,13.76238888888889,7.714658183625869,7.8868277777777935,0.05956971856215776,0.0,-0.5,-0.5,8.333333333333334,8.333333333333334
1,0.6000000000000001,False,0,0.9666666666666673,True,13.88888888888889,-3.642295344231349,-4.044444444444442,0.6175466088614816,1.0,-0.6000000000000001,-0.6000000000000001,8.333333333333334,8.333333333333334,13.88888888888889,6.435584670330457,5.399999999999985,1.170743054664222,-0.019999999999999574,-0.6000000000000001,-0.6000000000000001,8.333333333333334,8.333333333333334
1,0.7000000000000001,False,0,0.38571428571428634,True,13.129888888888889,-3.964700950582155,-4.1709444444444435,0.3616865112176586,0.8999999999999999,-0.7000000000000001,-0.7000000000000001,8.333333333333334,8.333333333333334,12.623888888888889,1.050365952468277,1.4067777777777772,0.9031684020495088,-0.009999999999999343,-0.7000000000000001,-0.7000000000000001,8.333333333333334,8.333333333333334
1,0.8,True,1,0.0,True,11.232388888888888,-3.826847304722274,-4.197288888888887,-0.8820083236377545,0.7200000000000002,-0.8,-0.8,8.333333333333334,8.333333333333334,8.954506888888886,-1.4611814994501726,-2.6511504888888906,0.8080840681542152,-2.220446049250313e-16,-0.8,-0.8,8.333333333333334,8.333333333333334
1,0.9,True,1,0.0,True,13.129888888888889,-2.5722960980297005,-4.183594444444444,-0.09491989920321764,0.6999999999999997,-0.9,-0.9,8.333333333333334,8.333333333333334,12.623888888888889,-0.8401839934456694,-0.548750000000001,-0.7936383719544722,-0.02000000000000024,-0.9,-0.9,8.333333333333334,8.333333333333334
1,1.0,True,1,0.0,True,13.50938888888889,-1.8409783337886738,-4.132994444444443,-0.34135955583736166,0.6000000000000001,-1.0,-1.0,8.333333333333334,8.333333333333334,13.129888888888889,-2.830581602311983,-1.2171111111111115,2.7585142206466853,0.0,-1.0,-1.0,8.333333333333334,8.333333333333334
1,1.1,True,1,0.0,True,5.917330888888887,-3.7474820587016096,-4.26986502222223,-0.8101047819036242,-1.8799999999999981,0.0,0.0,8.333333333333334,8.333333333333334,9.713800888888887,-2.696337161251246,-3.986681266666664,1.083486574061872,-0.0499999999999996,-1.1,-1.1,8.333333333333334,8.333333333333334
1,1.2000000000000002,True,2,0.0,True,8.954506888888886,-3.970194928902564,-4.016327044444448,0.06292550588951018,-0.4399999999999995,-1.2000000000000002,-1.2000000000000002,8.333333333333334,8.333333333333334,8.954506888888886,-4.243172250214253,-3.8299749777777796,0.5650445637302868,-0.07999999999999963,-1.2000000000000002,-1.2000000000000002,8.333333333333334,8.333333333333334
1,1.3,True,1,0.0,True,10.473094888888888,-4.1803611564711085,-4.2489627333333315,-0.4671953209788793,0.039999999999999813,-1.3,-1.3,8.333333333333334,8.333333333333334,9.713800888888887,-2.2954561731213614,-4.110915977777778,-0.7332079076106806,-0.09000000000000008,-1.3,-1.3,8.333333333333334,8.333333333333334
1,1.4000000000000001,True,2,0.0,True,8.954506888888886,-2.282376404699831,-3.1501847111111134,-1.4879123357439483,0.05999999999999983,-1.4000000000000001,-1.4000000000000001,8.333333333333334,8.333333333333334,8.195212888888886,-2.9264704702517816,-3.136372666666669,-0.051284174609786515,-0.08000000000000007,-1.4000000000000001,-1.4000000000000001,8.333333333333334,8.333333333333334
1,1.5,True,2,0.0,True,8.954506888888886,-4.297501703877056,-4.057763177777779,-1.8166876250610988,-0.5,-1.5,-1.5,8.333333333333334,8.333333333333334,10.473094888888888,-3.6171615563610766,-3.7954817111111128,-0.11550501690201309,-0.04999999999999982,-1.5,-1.5,8.333333333333334,8.333333333333334
1,1.6,True,2,0.0,True,8.954506888888886,-2.4030688657491384,-3.2123020666666706,-1.8505947827447733,-0.31999999999999984,-1.6,-1.6,8.333333333333334,8.333333333333334,8.954506888888886,-3.708988334620277,-3.1501847111111134,-1.1574822395275044,-0.1599999999999997,-1.6,-1.6,8.333333333333334,8.333333333333334
1,1.7000000000000002,True,2,0.0,True,8.954506888888886,-2.508517192634165,-3.150184711111115,-0.7163049278525764,-0.2699999999999996,-1.7000000000000002,-1.7000000000000002,8.333333333333334,8.333333333333334,9.713800888888887,-2.98076577399985,-3.088067355555558,-0.17293177770522616,-0.09999999999999964,-1.7000000000000002,-1.7000000000000002,8.333333333333334,8.333333333333334
2,0.0,False,0,4.0,True,13.88888888888889,-3.6227423692069722,-4.111111111111115,2.4843748595834776,1.6,0.0,0.0,8.333333333333334,8.333333333333334,,,,,,,,,
2,0.1,False,0,4.0,True,13.88888888888889,-3.0890616322349596,-4.111111111111115,2.9089292982220525,1.4900000000000002,-0.1,-0.1,8.333333333333334,8.333333333333334,13.88888888888889,77.95898497994098,78.84444444444411,0.6477333264508993,-0.00999999999999579,-0.1,-0.1,8.333333333333334,8.333333333333334
2,0.2,False,0,4.0,True,13.88888888888889,-3.8145269593238504,-4.111111111111115,0.45510191226323293,1.3800000000000003,-0.2,-0.2,8.333333333333334,8.333333333333334,13.88888888888889,33.86493615430106,34.39999999999981,-0.5456104003658133,-0.019999999999997353,-0.2,-0.2,8.333333333333334,8.333333333333334
2,0.30000000000000004,False,0,3.4333333333333336,True,13.88888888888889,-4.104288913170497,-4.111111111111115,1.3014549007086775,1.27,-0.30000000000000004,-0.30000000000000004,8.333333333333334,8.333333333333334,13.88888888888889,19.236548292249783,19.399999999999952,-0.6970258264856146,-0.020000000000001572,-0.30000000000000004,-0.30000000000000004,8.333333333333334,8.333333333333334
