max_deceleration,velocity,lead_speed_delta,Crash,initial_distance,speed_difference,reacted,ego_speed,perceived_gap,true_gap,perceived_speed,true_speed
0.05,12,0,False,6.666666666666666,0.0,True,3.0133333333333328,7.021345361378478,6.634086666666666,2.940933333333333,2.940933333333333
0.05,12,5,False,6.666666666666666,0.0,True,1.5883333333333323,4.647983023665852,5.043521111111111,1.3558444444444442,1.3558444444444442
0.05,12,10,False,6.666666666666666,0.0,True,0.15653933333333214,3.7952901639986587,3.134032733333332,0.0,0.0
0.05,12,15,False,6.666666666666666,0.0,True,0.15653933333333214,2.0906358886616667,2.7910960666666655,0.0,0.0
0.05,12,20,False,6.666666666666666,0.0,True,0.15653933333333214,1.4509706364579786,2.7910960666666655,0.0,0.0
0.05,12,25,False,6.666666666666666,0.0,True,0.15653933333333214,2.1157461045726533,2.7910960666666655,0.0,0.0
0.05,12,30,False,6.666666666666666,0.0,True,0.15653933333333214,2.6984964933657407,2.7910960666666655,0.0,0.0
0.05,14,0,False,7.777777777777778,0.0,True,3.5688888888888886,7.961286333527474,7.745197777777778,3.496488888888889,3.496488888888889
0.05,14,5,False,7.777777777777778,0.0,True,2.1438888888888883,6.32374489905856,6.154632222222221,1.9114,1.9114
0.05,14,10,False,7.777777777777778,0.0,True,0.7120948888888882,4.332854980972189,4.220515511111111,0.4244111111111111,0.4244111111111111
0.05,14,15,False,7.777777777777778,0.0,True,0.7120948888888882,2.7895997869299842,3.068873844444444,0.0,0.0
0.05,14,20,False,7.777777777777778,0.0,True,0.7120948888888882,3.564364173365889,3.068873844444444,0.0,0.0
0.05,14,25,False,7.777777777777778,0.0,True,0.7120948888888882,3.4109452364225996,3.068873844444444,0.0,0.0
0.05,14,30,False,7.777777777777778,0.0,True,0.7120948888888882,2.5325006559499146,3.068873844444444,0.0,0.0
0.05,16,0,False,8.88888888888889,0.0,True,4.124444444444444,9.635142258783233,8.856308888888886,4.052044444444444,4.052044444444444
0.05,16,5,False,8.88888888888889,0.0,True,2.6994444444444436,7.636598544109117,7.265743333333334,2.4669555555555553,2.4669555555555553
0.05,16,10,False,8.88888888888889,0.0,True,1.2676504444444432,5.965047610699437,5.331626622222225,0.9799666666666664,0.9799666666666664
0.05,16,15,False,8.88888888888889,0.0,True,0.5083564444444432,3.1489805511213893,3.388907644444445,0.0,0.0
0.05,16,20,False,8.88888888888889,0.0,True,0.5083564444444432,4.0115008554912075,3.295815977777779,0.0,0.0
0.05,16,25,False,8.88888888888889,0.0,True,0.5083564444444432,3.00719395699013,3.295815977777779,0.0,0.0
0.05,16,30,False,8.88888888888889,0.0,True,0.5083564444444432,3.686900363490385,3.295815977777779,0.0,0.0
0.05,18,0,False,10.0,0.0,True,4.68,10.802266392899288,9.96742,4.6076,4.6076
0.05,18,5,False,10.0,0.0,True,3.254999999999999,8.21781367255764,8.376854444444447,3.022511111111111,3.022511111111111
0.05,18,10,False,10.0,0.0,True,1.8232059999999986,5.622512857351542,6.4427377333333355,1.5355222222222222,1.5355222222222222
0.05,18,15,False,10.0,0.0,True,0.3046179999999984,5.231008465914269,4.237163066666668,0.048533333333333206,0.048533333333333206
0.05,18,20,False,10.0,0.0,True,0.3046179999999984,3.693199027647977,3.4875764000000027,0.0,0.0
0.05,18,25,False,10.0,0.0,True,0.3046179999999984,3.039083596439391,3.4875764000000027,0.0,0.0
0.05,18,30,False,10.0,0.0,True,0.3046179999999984,3.9536617959608256,3.4875764000000027,0.0,0.0
0.05,20,0,False,11.11111111111111,0.0,True,5.235555555555555,11.66727741115346,11.078531111111111,5.163155555555555,5.163155555555555
0.05,20,5,False,11.11111111111111,0.0,True,3.8105555555555544,9.41381500283848,9.487965555555558,3.578066666666667,3.578066666666667
0.05,20,10,False,11.11111111111111,0.0,True,2.378761555555554,7.234483049237238,7.553848844444446,2.0910777777777776,2.0910777777777776
0.05,20,15,False,11.11111111111111,0.0,True,0.8601735555555537,4.394445076479021,5.348274177777779,0.6040888888888888,0.6040888888888888
0.05,20,20,False,11.11111111111111,0.0,True,0.10087955555555372,2.495765970275219,3.644155111111113,0.0,0.0
0.05,20,25,False,11.11111111111111,0.0,True,0.10087955555555372,4.174229695210777,3.644155111111113,0.0,0.0
0.05,20,30,False,11.11111111111111,0.0,True,0.10087955555555372,4.537971604995282,3.644155111111113,0.0,0.0
0.05,22,0,False,12.222222222222221,0.0,True,5.79111111111111,12.13732228437993,12.189642222222222,5.71871111111111,5.71871111111111
0.05,22,5,False,12.222222222222221,0.0,True,4.36611111111111,10.534553714446826,10.599076666666669,4.133622222222222,4.133622222222222
0.05,22,10,False,12.222222222222221,0.0,True,2.9343171111111093,8.966872222309107,8.66495995555556,2.646633333333333,2.646633333333333
0.05,22,15,False,12.222222222222221,0.0,True,1.415729111111109,5.977303004964299,6.45938528888889,1.1596444444444445,1.1596444444444445
0.05,22,20,False,12.222222222222221,0.0,True,0.656435111111109,3.4243422413699554,4.098202888888891,0.0,0.0
0.05,22,25,False,12.222222222222221,0.0,True,0.656435111111109,3.593627184437781,3.7552662222222244,0.0,0.0
0.05,22,30,False,12.222222222222221,0.0,True,0.656435111111109,3.7187284620172347,3.7552662222222244,0.0,0.0
0.05,24,0,False,13.333333333333332,0.0,True,6.346666666666666,13.171904349955067,13.30075333333333,6.274266666666666,6.274266666666666
0.05,24,5,False,13.333333333333332,0.0,True,4.921666666666665,11.011272871539983,11.710187777777776,4.689177777777777,4.689177777777777
0.05,24,10,False,13.333333333333332,0.0,True,3.4898726666666646,9.595699258381678,9.776071066666667,3.2021888888888888,3.2021888888888888
0.05,24,15,False,13.333333333333332,0.0,True,1.9712846666666644,8.079153164012737,7.570496400000001,1.7151999999999998,1.7151999999999998
0.05,24,20,False,13.333333333333332,0.0,True,0.4526966666666642,5.047960352440982,5.093463777777779,0.22821111111111114,0.22821111111111114
0.05,24,25,False,13.333333333333332,0.0,True,0.4526966666666642,2.926903392530833,3.8211076666666672,0.0,0.0
0.05,24,30,False,13.333333333333332,0.0,True,0.4526966666666642,3.8160644310665406,3.8211076666666672,0.0,0.0
0.05,26,0,False,14.444444444444445,0.0,True,6.902222222222222,14.701702448733482,14.411864444444443,6.829822222222222,6.829822222222222
0.05,26,5,False,14.444444444444445,0.0,True,5.477222222222221,12.8800189594205,12.821298888888887,5.244733333333333,5.244733333333333
0.05,26,10,False,14.444444444444445,0.0,True,4.045428222222221,10.452644985033821,10.887182177777778,3.7577444444444446,3.7577444444444446
0.05,26,15,False,14.444444444444445,0.0,True,2.526840222222221,8.499679133350547,8.68160751111111,2.270755555555555,2.270755555555555
0.05,26,20,False,14.444444444444445,0.0,True,1.0082522222222208,6.017497534119797,6.204574888888888,0.7837666666666665,0.7837666666666665
0.05,26,25,False,14.444444444444445,0.0,True,0.24895822222222075,3.7877565459292173,3.944859066666667,0.0,0.0
0.05,26,30,False,14.444444444444445,0.0,True,0.24895822222222075,3.6820894740560286,3.851767400000001,0.0,0.0
0.05,28,0,False,15.555555555555555,0.0,True,7.457777777777777,15.891019360588746,15.52297555555555,7.385377777777777,7.385377777777777
0.05,28,5,False,15.555555555555555,0.0,True,6.032777777777777,13.547776962834238,13.93241,5.800288888888888,5.800288888888888
0.05,28,10,False,15.555555555555555,0.0,True,4.600983777777777,11.183575892232621,11.998293288888885,4.3133,4.3133
0.05,28,15,False,15.555555555555555,0.0,True,3.0823957777777764,10.049418460237135,9.792718622222221,2.826311111111111,2.826311111111111
0.05,28,20,False,15.555555555555555,0.0,True,1.5638077777777761,7.062406502461408,7.315686,1.3393222222222223,1.3393222222222223
0.05,28,25,False,15.555555555555555,0.0,True,0.04521977777777608,5.142019592477557,4.596832088888889,0.0,0.0
0.05,28,30,False,15.555555555555555,0.0,True,0.04521977777777608,3.7622518291772424,3.8472454222222234,0.0,0.0
0.05,30,0,False,16.666666666666668,0.0,True,8.01333333333334,16.90884165183444,16.634086666666665,7.940933333333334,7.940933333333334
0.05,30,5,False,16.666666666666668,0.0,True,6.58833333333334,14.162968415598389,15.043521111111108,6.355844444444444,6.355844444444444
0.05,30,10,False,16.666666666666668,0.0,True,5.15653933333334,13.260222864177141,13.109404399999992,4.868855555555555,4.868855555555555
0.05,30,15,False,16.666666666666668,0.0,True,3.63795133333334,10.664368761122674,10.903829733333325,3.381866666666667,3.381866666666667
0.05,30,20,False,16.666666666666668,0.0,True,2.11936333333334,8.47197259612117,8.426797111111103,1.8948777777777777,1.8948777777777777
0.05,30,25,False,16.666666666666668,0.0,True,0.6007753333333398,4.6538628787345155,5.678306533333321,0.40788888888888875,0.40788888888888875
0.05,30,30,False,16.666666666666668,0.0,True,0.6007753333333398,3.2998847505567257,3.7916898666666556,0.0,0.0
0.05,32,0,False,17.77777777777778,0.0,True,8.568888888888896,17.63273793571248,17.74519777777778,8.496488888888889,8.496488888888889
0.05,32,5,False,17.77777777777778,0.0,True,7.143888888888897,16.24961591656969,16.154632222222215,6.9113999999999995,6.9113999999999995
0.05,32,10,False,17.77777777777778,0.0,True,5.712094888888897,14.147938387898034,14.220515511111106,5.424411111111111,5.424411111111111
0.05,32,15,False,17.77777777777778,0.0,True,4.193506888888898,11.658638652035346,12.014940844444435,3.937422222222222,3.937422222222222
0.05,32,20,False,17.77777777777778,0.0,True,2.6749188888888975,9.857341081269205,9.537908222222214,2.450433333333333,2.450433333333333
0.05,32,25,False,17.77777777777778,0.0,True,1.1563308888888972,5.91255100754251,6.789417644444433,0.9634444444444443,0.9634444444444443
0.05,32,30,False,17.77777777777778,0.0,True,0.3970368888888972,4.2648821877482215,4.039367288888877,0.0,0.0
0.05,34,0,False,18.88888888888889,0.0,True,9.124444444444451,18.29748144686204,18.856308888888886,9.052044444444444,9.052044444444444
0.05,34,5,False,18.88888888888889,0.0,True,7.699444444444453,17.76878956014974,17.265743333333326,7.466955555555555,7.466955555555555
0.05,34,10,False,18.88888888888889,0.0,True,6.267650444444453,14.8915707261208,15.331626622222213,5.979966666666666,5.979966666666666
0.05,34,15,False,18.88888888888889,0.0,True,4.749062444444454,12.819430148863248,13.126051955555546,4.492977777777778,4.492977777777778
0.05,34,20,False,18.88888888888889,0.0,True,3.2304744444444538,10.404033072806548,10.649019333333325,3.005988888888889,3.005988888888889
0.05,34,25,False,18.88888888888889,0.0,True,1.7118864444444535,8.109593687224951,7.900528755555544,1.519,1.519
0.05,34,30,False,18.88888888888889,0.0,True,0.19329844444445343,3.7023788052537503,4.880580222222206,0.03201111111111121,0.03201111111111121
0.05,36,0,False,20.0,0.0,True,9.680000000000007,19.452927046176068,19.96742,9.6076,9.6076
0.05,36,5,False,20.0,0.0,True,8.25500000000001,19.236289095088917,18.376854444444437,8.022511111111111,8.022511111111111
0.05,36,10,False,20.0,0.0,True,6.82320600000001,16.887559152888006,16.44273773333332,6.535522222222222,6.535522222222222
0.05,36,15,False,20.0,0.0,True,5.30461800000001,14.151349091985903,14.237163066666657,5.048533333333333,5.048533333333333
0.05,36,20,False,20.0,0.0,True,3.7860300000000104,11.642247065426488,11.760130444444432,3.5615444444444444,3.5615444444444444
0.05,36,25,False,20.0,0.0,True,2.26744200000001,8.941838096658653,9.011639866666648,2.0745555555555555,2.0745555555555555
0.05,36,30,False,20.0,0.0,True,0.74885400000001,6.01112130540366,5.991691333333315,0.5875666666666666,0.5875666666666666
0.05,38,0,False,21.11111111111111,0.0,True,10.235555555555562,20.31773503664328,21.078531111111108,10.163155555555555,10.163155555555555
0.05,38,5,False,21.11111111111111,0.0,True,8.810555555555565,19.765605438112537,19.487965555555547,8.578066666666667,8.578066666666667
0.05,38,10,False,21.11111111111111,0.0,True,7.378761555555566,17.48698025848103,17.553848844444435,7.091077777777778,7.091077777777778
0.05,38,15,False,21.11111111111111,0.0,True,5.8601735555555665,15.90302781558891,15.348274177777771,5.604088888888889,5.604088888888889
0.05,38,20,False,21.11111111111111,0.0,True,4.341585555555567,12.41439076953954,12.871241555555546,4.1171,4.1171
0.05,38,25,False,21.11111111111111,0.0,True,2.822997555555567,10.226703631659209,10.122750977777766,2.630111111111111,2.630111111111111
0.05,38,30,False,21.11111111111111,0.0,True,1.3044095555555666,8.533113592725478,7.102802444444433,1.1431222222222224,1.1431222222222224
0.05,40,0,False,22.22222222222222,0.0,True,10.791111111111118,21.896310001086082,22.189642222222222,10.71871111111111,10.71871111111111
0.05,40,5,False,22.22222222222222,0.0,True,9.36611111111112,20.685247291697767,20.599076666666658,9.133622222222222,9.133622222222222
0.05,40,10,False,22.22222222222222,0.0,True,7.934317111111121,18.424425497539776,18.66495995555555,7.646633333333334,7.646633333333334
