velocity,front_distance,lateral_velocities,Crash,Crash_front,initial_distance,reacted,ego_speed,perceived_gap,true_gap,perceived_lat_gap,true_lat_gap,perceived_speed,true_speed
10,2,-0.1,False,True,5.555555555555555,True,0.36027777777777703,2.751194444444444,2.751194444444444,-1.8399999999999999,-1.8399999999999999,0.0,0.0
10,2,-0.30000000000000004,False,True,5.555555555555555,True,0.36027777777777703,2.751194444444444,2.751194444444444,-1.7199999999999998,-1.7199999999999998,0.0,0.0
10,2,-0.5000000000000001,False,True,5.555555555555555,True,0.36027777777777703,2.751194444444444,2.751194444444444,-1.6,-1.6,0.0,0.0
10,2,-0.7000000000000001,False,True,5.555555555555555,True,0.36027777777777703,2.751194444444444,2.751194444444444,-1.48,-1.48,0.0,0.0
10,2,-0.9000000000000001,False,True,5.555555555555555,True,0.36027777777777703,3.0289722222222215,3.0289722222222215,-1.3599999999999999,-1.3599999999999999,0.0,0.0
10,2,-1.1000000000000003,False,True,5.555555555555555,True,0.36027777777777703,3.30675,3.30675,-1.2399999999999998,-1.2399999999999998,0.0,0.0
10,2,-1.3000000000000003,False,True,5.555555555555555,True,0.36027777777777703,3.584527777777777,3.584527777777777,-1.1199999999999997,-1.1199999999999997,0.0,0.0
10,2,-1.5000000000000004,False,True,5.555555555555555,True,0.36027777777777703,3.584527777777777,3.584527777777777,-0.9999999999999996,-0.9999999999999996,0.0,0.0
10,2,-1.7000000000000004,False,True,5.555555555555555,True,0.36027777777777703,3.584527777777777,3.584527777777777,-0.8799999999999994,-0.8799999999999994,0.0,0.0
10,2,-1.9000000000000004,False,True,5.555555555555555,True,0.36027777777777703,3.8623055555555554,3.8623055555555554,-0.7599999999999998,-0.7599999999999998,0.0,0.0
10,2,-2.1000000000000005,False,True,5.555555555555555,True,0.36027777777777703,3.8623055555555554,3.8623055555555554,-0.6399999999999992,-0.6399999999999992,0.0,0.0
10,2,-2.3000000000000007,False,True,5.555555555555555,True,0.36027777777777703,3.8623055555555554,3.8623055555555554,-0.5199999999999996,-0.5199999999999996,0.0,0.0
10,2,-2.5000000000000004,False,True,5.555555555555555,True,0.36027777777777703,3.8623055555555554,3.8623055555555554,-0.3999999999999999,-0.3999999999999999,0.0,0.0
10,2,-2.7000000000000006,False,True,5.555555555555555,True,0.36027777777777703,3.8623055555555554,3.8623055555555554,-0.2799999999999998,-0.2799999999999998,0.0,0.0
10,2,-2.900000000000001,False,True,5.555555555555555,True,0.36027777777777703,3.8623055555555554,3.8623055555555554,-0.15999999999999925,-0.15999999999999925,0.0,0.0
10,7,-0.1,False,True,5.555555555555555,True,0.36027777777777703,2.751194444444443,2.751194444444443,-1.6599999999999997,-1.6599999999999997,0.0,0.0
10,7,-0.30000000000000004,False,True,5.555555555555555,True,0.36027777777777703,5.80675,5.80675,-1.1800000000000002,-1.1800000000000002,0.0,0.0
10,7,-0.5000000000000001,False,False,5.555555555555555,True,0.36027777777777703,11.478972222222223,11.478972222222223,-1.9,-1.9,0.0,0.0
